"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","","0.7","","-2.9","","-1.1","","19.1","","0.0","","","M","","M","0.8","","","","","M","","M"
"2016-01-02","2016","01","02","","1.5","","-2.9","","-0.7","","18.7","","0.0","","","M","","M","0.2","","0","T","","M","","M"
"2016-01-03","2016","01","03","","2.3","","-10.1","","-3.9","","21.9","","0.0","","","M","","M","0.2","","0","T","","M","","M"
"2016-01-04","2016","01","04","","-9.9","","-14.2","","-12.1","","30.1","","0.0","","","M","","M","0.6","","","","","M","","M"
"2016-01-05","2016","01","05","","","M","-13.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"2016-01-06","2016","01","06","","2.4","","-4.5","","-1.1","","19.1","","0.0","","","M","","M","0.3","","","","","M","","M"
"2016-01-07","2016","01","07","","3.7","","-2.4","","0.7","","17.3","","0.0","","","M","","M","1.2","","","","","M","","M"
"2016-01-08","2016","01","08","","","M","-0.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"2016-01-09","2016","01","09","","8.1","","3.4","","5.8","","12.2","","0.0","","","M","","M","2.6","","","","","M","","M"
"2016-01-10","2016","01","10","","7.8","","-5.5","","1.2","","16.8","","0.0","","","M","","M","27.1","","","","","M","","M"
"2016-01-11","2016","01","11","","-5.3","","-8.8","","-7.1","","25.1","","0.0","","","M","","M","0.2","","","","","M","","M"
"2016-01-12","2016","01","12","","-0.8","","-8.2","","-4.5","","22.5","","0.0","","","M","","M","3.2","","3","","","M","","M"
"2016-01-13","2016","01","13","","-6.1","","-8.9","","-7.5","","25.5","","0.0","","","M","","M","0.5","","4","","","M","","M"
"2016-01-14","2016","01","14","","-0.9","","-7.4","","-4.2","","22.2","","0.0","","","M","","M","0.2","","3","","","M","","M"
"2016-01-15","2016","01","15","","5.7","","-2.1","","1.8","","16.2","","0.0","","","M","","M","1.3","","3","","","M","","M"
"2016-01-16","2016","01","16","","3.9","","-2.7","","0.6","","17.4","","0.0","","","M","","M","1.2","","","","","M","","M"
"2016-01-17","2016","01","17","","0.3","","-9.1","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"2016-01-18","2016","01","18","","-6.6","","-10.1","","-8.4","","26.4","","0.0","","","M","","M","0.7","","","","","M","","M"
"2016-01-19","2016","01","19","","-2.6","","-13.3","","-8.0","","26.0","","0.0","","","M","","M","1.1","","0","T","","M","","M"
"2016-01-20","2016","01","20","","-2.7","","-6.3","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"2016-01-21","2016","01","21","","-2.1","","-6.5","","-4.3","","22.3","","0.0","","","M","","M","","M","","","","M","","M"
"2016-01-22","2016","01","22","","-1.8","","-6.8","","-4.3","","22.3","","0.0","","","M","","M","0.9","","","","","M","","M"
"2016-01-23","2016","01","23","","-2.5","","-9.7","","-6.1","","24.1","","0.0","","","M","","M","0.5","","","","","M","","M"
"2016-01-24","2016","01","24","","0.2","","-8.0","","-3.9","","21.9","","0.0","","","M","","M","0.0","","0","T","","M","","M"
"2016-01-25","2016","01","25","","5.1","","-0.1","","2.5","","15.5","","0.0","","","M","","M","","M","","","","M","","M"
"2016-01-26","2016","01","26","","7.0","","1.6","","4.3","","13.7","","0.0","","","M","","M","","M","0","T","","M","","M"
"2016-01-27","2016","01","27","","1.7","","-2.0","","-0.2","","18.2","","0.0","","","M","","M","1.0","","","","","M","","M"
"2016-01-28","2016","01","28","","2.3","","-0.8","","0.8","","17.2","","0.0","","","M","","M","1.0","","","","","M","","M"
"2016-01-29","2016","01","29","","1.3","","-7.6","","-3.2","","21.2","","0.0","","","M","","M","0.0","","0","T","","M","","M"
"2016-01-30","2016","01","30","","6.4","","-6.8","","-0.2","","18.2","","0.0","","","M","","M","","M","0","T","","M","","M"
"2016-01-31","2016","01","31","","9.9","","2.9","","6.4","","11.6","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-01","2016","02","01","","9.9","","1.8","","5.9","","12.1","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-02","2016","02","02","","2.7","","0.8","","1.8","","16.2","","0.0","","","M","","M","3.5","","","","","M","","M"
"2016-02-03","2016","02","03","","15.6","","2.3","","9.0","","9.0","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-04","2016","02","04","","4.5","","-0.3","","2.1","","15.9","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-05","2016","02","05","","2.2","","-2.0","","0.1","","17.9","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-06","2016","02","06","","4.6","","0.0","","2.3","","15.7","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-07","2016","02","07","","6.0","","-0.5","","2.8","","15.2","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-08","2016","02","08","","4.4","","-1.4","","1.5","","16.5","","0.0","","","M","","M","","M","","","","M","","M"
"2016-02-09","2016","02","09","","2.2","","-2.0","","0.1","","17.9","","0.0","","","M","","M","","M","1","","","M","","M"
"2016-02-10","2016","02","10","","-0.1","","-10.4","","-5.3","","23.3","","0.0","","","M","","M","","M","1","","","M","","M"
"2016-02-11","2016","02","11","","-9.0","","-16.2","","-12.6","","30.6","","0.0","","","M","","M","0.7","","1","","","M","","M"
"2016-02-12","2016","02","12","","-3.4","","-14.4","","-8.9","","26.9","","0.0","","","M","","M","0.2","","1","","","M","","M"
"2016-02-13","2016","02","13","","-14.3","","-24.7","","-19.5","","37.5","","0.0","","","M","","M","0.3","","1","","","M","","M"
"2016-02-14","2016","02","14","","-9.6","","-22.4","","-16.0","","34.0","","0.0","","","M","","M","0.0","","1","","","M","","M"
"2016-02-15","2016","02","15","","0.0","","-9.6","","-4.8","","22.8","","0.0","","","M","","M","","M","2","","","M","","M"
