Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2018-01-01,2018,1,1,-7.9,-18.6,-13.3,0.0,0.0,0.2,11.0,0.0
2018-01-02,2018,1,2,-7.1,-12.5,-9.8,0.0,0.0,0.0,9.0,0.0
2018-01-03,2018,1,3,-5.3,-11.2,-8.3,0.0,0.0,0.2,11.0,0.0
2018-01-04,2018,1,4,-7.7,-19.7,-13.7,0.0,0.0,0.2,11.0,0.0
2018-01-05,2018,1,5,-14.7,-20.6,-17.7,0.0,0.0,0.0,10.0,0.0
2018-01-06,2018,1,6,-15.4,-22.3,-18.9,0.0,0.0,0.0,10.0,0.0
2018-01-07,2018,1,7,-1.0,-17.5,-9.3,0.0,0.0,0.0,10.0,0.0
2018-01-08,2018,1,8,3.0,-1.7,0.7,0.0,0.0,5.4,11.0,0.0
2018-01-09,2018,1,9,1.6,-0.6,0.5,0.0,0.0,0.0,12.0,0.0
2018-01-10,2018,1,10,5.9,-1.3,2.3,0.0,0.0,0.9,12.0,0.0
2018-01-11,2018,1,11,11.6,5.6,8.6,0.0,0.0,9.7,6.0,0.0
2018-01-12,2018,1,12,11.9,-11.2,0.4,0.0,0.0,16.5,0.0,0.0
2018-01-13,2018,1,13,-11.0,-14.5,-12.8,0.0,0.0,0.2,1.0,0.0
2018-01-14,2018,1,14,-5.4,-14.2,-9.8,0.0,0.0,0.0,1.0,0.0
2018-01-15,2018,1,15,-5.1,-8.1,-6.6,0.0,0.0,3.2,1.0,0.0
2018-01-16,2018,1,16,-2.4,-8.7,-5.6,0.0,0.0,1.1,6.0,0.0
2018-01-17,2018,1,17,-4.6,-11.0,-7.8,0.0,0.0,0.0,6.0,0.0
2018-01-18,2018,1,18,-3.0,-7.5,-5.3,0.0,0.0,0.0,5.0,0.0
2018-01-19,2018,1,19,3.1,-4.0,-0.5,0.0,0.0,0.0,4.0,0.0
2018-01-20,2018,1,20,6.8,0.9,3.9,0.0,0.0,0.0,4.0,0.0
2018-01-21,2018,1,21,4.2,-0.1,2.1,0.0,0.0,0.2,1.0,0.0
2018-01-22,2018,1,22,3.0,0.9,2.0,0.0,0.0,11.8,1.0,0.0
2018-01-23,2018,1,23,8.1,-4.0,2.1,0.0,0.0,1.7,0.0,0.0
2018-01-24,2018,1,24,-3.9,-10.4,-7.2,0.0,0.0,0.2,0.0,0.0
2018-01-25,2018,1,25,-0.8,-10.0,-5.4,0.0,0.0,0.0,0.0,0.0
2018-01-26,2018,1,26,6.8,-1.0,2.9,0.0,0.0,0.0,0.0,0.0
2018-01-27,2018,1,27,9.2,2.9,6.1,0.0,0.0,0.6,1.0,0.0
2018-01-28,2018,1,28,5.5,-1.4,2.1,0.0,0.0,0.0,0.0,0.0
2018-01-29,2018,1,29,-1.1,-6.3,-3.7,0.0,0.0,5.8,0.0,0.0
2018-01-30,2018,1,30,-6.2,-12.2,-9.2,0.0,0.0,0.4,7.0,0.0
2018-01-31,2018,1,31,3.0,-12.3,-4.7,0.0,0.0,1.5,4.0,0.0
2018-02-01,2018,2,1,5.6,-8.9,-1.7,0.0,0.0,0.0,5.0,0.0
2018-02-02,2018,2,2,-8.6,-15.0,-11.8,0.0,0.0,0.2,3.0,0.0
2018-02-03,2018,2,3,0.4,-9.7,-4.7,0.0,0.0,1.0,3.0,0.0
2018-02-04,2018,2,4,1.8,-8.8,-3.5,0.0,0.0,4.9,4.0,0.0
2018-02-05,2018,2,5,-6.6,-12.0,-9.3,0.0,0.0,0.0,5.0,0.0
2018-02-06,2018,2,6,-3.2,-8.2,-5.7,0.0,0.0,0.2,5.0,0.0
2018-02-07,2018,2,7,-4.1,-8.7,-6.4,0.0,0.0,7.5,6.0,0.0
2018-02-08,2018,2,8,-5.2,-9.7,-7.5,0.0,0.0,0.0,13.0,0.0
2018-02-09,2018,2,9,-3.5,-8.7,-6.1,0.0,0.0,4.7,12.0,0.0
2018-02-10,2018,2,10,-3.0,-5.1,-4.1,0.0,0.0,5.8,17.0,0.0
2018-02-11,2018,2,11,-0.6,-5.2,-2.9,0.0,0.0,2.9,21.0,0.0
2018-02-12,2018,2,12,-1.8,-8.4,-5.1,0.0,0.0,0.3,17.0,0.0
2018-02-13,2018,2,13,-0.8,-9.6,-5.2,0.0,0.0,0.0,17.0,0.0
2018-02-14,2018,2,14,5.7,-1.0,2.4,0.0,0.0,0.0,16.0,0.0
2018-02-15,2018,2,15,9.6,3.1,6.4,0.0,0.0,0.0,13.0,0.0
2018-02-16,2018,2,16,4.8,-5.0,-0.1,0.0,0.0,0.0,7.0,0.0
2018-02-17,2018,2,17,-0.4,-5.4,-2.9,0.0,0.0,0.0,7.0,0.0
2018-02-18,2018,2,18,4.5,-1.3,1.6,0.0,0.0,0.0,7.0,0.0
2018-02-19,2018,2,19,5.8,0.6,3.2,0.0,0.0,13.3,5.0,0.0
2018-02-20,2018,2,20,15.5,5.2,10.4,0.0,0.0,7.6,2.0,0.0
2018-02-21,2018,2,21,14.6,-1.2,6.7,0.0,0.0,6.6,0.0,0.0
2018-02-22,2018,2,22,1.2,-1.9,-0.4,0.0,0.0,0.2,0.0,0.0
2018-02-23,2018,2,23,6.9,-0.3,3.3,0.0,0.0,2.5,0.0,0.0
2018-02-24,2018,2,24,6.2,2.0,4.1,0.0,0.0,0.0,0.0,0.0
2018-02-25,2018,2,25,12.8,1.4,7.1,0.0,0.0,4.3,0.0,0.0
2018-02-26,2018,2,26,8.3,0.7,4.5,0.0,0.0,0.0,0.0,0.0
2018-02-27,2018,2,27,13.4,0.9,7.2,0.0,0.0,0.0,0.0,0.0
2018-02-28,2018,2,28,,5.1,,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018,3,1,,,,0.0,0.0,0.0,0.0,0.0
2018-03-02,2018,3,2,,-0.5,,0.0,0.0,0.0,4.0,0.0
2018-03-03,2018,3,3,,,,0.0,0.0,0.0,0.0,0.0
2018-03-04,2018,3,4,,-3.1,,0.0,0.0,0.0,0.0,0.0
2018-03-05,2018,3,5,,,,0.0,0.0,0.0,0.0,0.0
2018-03-06,2018,3,6,,-1.4,,0.0,0.0,0.0,0.0,0.0
2018-03-07,2018,3,7,3.1,0.4,1.8,0.0,0.0,0.0,0.0,0.0
2018-03-08,2018,3,8,0.5,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
2018-03-09,2018,3,9,5.3,-1.8,1.8,0.0,0.0,0.0,0.0,0.0
2018-03-10,2018,3,10,3.2,-2.1,0.6,0.0,0.0,0.2,0.0,0.0
2018-03-11,2018,3,11,3.9,-3.4,0.3,0.0,0.0,0.0,0.0,0.0
2018-03-12,2018,3,12,-0.1,-2.5,-1.3,0.0,0.0,0.5,0.0,0.0
2018-03-13,2018,3,13,2.6,-2.7,-0.1,0.0,0.0,0.4,1.0,0.0
2018-03-14,2018,3,14,2.2,-2.7,-0.3,0.0,0.0,0.2,0.0,0.0
2018-03-15,2018,3,15,6.4,-3.7,1.4,0.0,0.0,0.2,0.0,0.0
2018-03-16,2018,3,16,0.3,-6.7,-3.2,0.0,0.0,0.0,0.0,0.0
2018-03-17,2018,3,17,6.4,-4.3,1.1,0.0,0.0,0.0,0.0,0.0
2018-03-18,2018,3,18,6.4,-3.7,1.4,0.0,0.0,0.0,0.0,0.0
2018-03-19,2018,3,19,-0.2,-6.3,-3.3,0.0,0.0,0.0,0.0,0.0
2018-03-20,2018,3,20,1.5,-4.8,-1.7,0.0,0.0,0.0,0.0,0.0
2018-03-21,2018,3,21,6.2,-3.7,1.3,0.0,0.0,0.0,0.0,0.0
2018-03-22,2018,3,22,5.4,-3.1,1.2,0.0,0.0,0.0,0.0,0.0
2018-03-23,2018,3,23,4.9,-3.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-03-24,2018,3,24,2.9,-4.0,-0.6,0.0,0.0,0.0,0.0,0.0
2018-03-25,2018,3,25,2.5,-6.5,-2.0,0.0,0.0,0.0,0.0,0.0
2018-03-26,2018,3,26,7.3,0.9,4.1,0.0,0.0,0.0,0.0,0.0
2018-03-27,2018,3,27,7.4,3.0,5.2,0.0,0.0,3.6,0.0,0.0
2018-03-28,2018,3,28,8.2,2.8,5.5,0.0,0.0,0.0,0.0,0.0
2018-03-29,2018,3,29,7.2,3.5,5.4,0.0,0.0,14.6,1.0,0.0
2018-03-30,2018,3,30,5.8,0.2,3.0,0.0,0.0,0.3,1.0,0.0
2018-03-31,2018,3,31,8.3,0.4,4.4,0.0,0.0,2.7,0.0,0.0
2018-04-01,2018,4,1,4.5,-2.6,1.0,0.0,0.0,0.2,0.0,0.0
2018-04-02,2018,4,2,6.5,-1.2,2.7,0.0,0.0,0.0,0.0,0.0
2018-04-03,2018,4,3,5.0,2.4,3.7,0.0,0.0,17.8,0.0,0.0
2018-04-04,2018,4,4,5.7,-3.2,1.3,0.0,0.0,4.6,0.0,0.0
2018-04-05,2018,4,5,2.9,-3.9,-0.5,0.0,0.0,0.2,0.0,0.0
2018-04-06,2018,4,6,5.4,-2.6,1.4,0.0,0.0,1.4,0.0,0.0
2018-04-07,2018,4,7,2.0,-4.4,-1.2,0.0,0.0,0.0,0.0,0.0
2018-04-08,2018,4,8,2.7,-3.6,-0.5,0.0,0.0,0.0,0.0,0.0
2018-04-09,2018,4,9,,-3.6,,0.0,0.0,0.0,0.0,0.0
2018-04-10,2018,4,10,5.8,-1.0,2.4,0.0,0.0,0.0,0.0,0.0
2018-04-11,2018,4,11,5.4,1.2,3.3,0.0,0.0,0.9,0.0,0.0
2018-04-12,2018,4,12,13.4,1.2,7.3,0.0,0.0,2.0,0.0,0.0
2018-04-13,2018,4,13,5.9,2.8,4.4,0.0,0.0,5.4,0.0,0.0
2018-04-14,2018,4,14,4.6,-3.8,0.4,0.0,0.0,24.4,0.0,0.0
2018-04-15,2018,4,15,1.4,-2.9,-0.8,0.0,0.0,36.1,4.0,0.0
2018-04-16,2018,4,16,4.0,1.1,2.6,0.0,0.0,28.8,5.0,0.0
2018-04-17,2018,4,17,2.0,-0.8,0.6,0.0,0.0,0.8,4.0,0.0
2018-04-18,2018,4,18,4.7,1.0,2.9,0.0,0.0,0.0,3.0,0.0
2018-04-19,2018,4,19,5.1,0.5,2.8,0.0,0.0,0.0,2.0,0.0
2018-04-20,2018,4,20,8.6,-0.7,4.0,0.0,0.0,0.0,0.0,0.0
