"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-02","2017","01","02","","4.8","","-0.6","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","6","","43",""
"2017-01-03","2017","01","03","","5.1","","2.7","","3.9","","14.1","","0.0","","","M","","M","11.7","","","","","","<31",""
"2017-01-04","2017","01","04","","4.3","","-7.2","","-1.5","","19.5","","0.0","","","M","","M","0.5","","","","25","","78",""
"2017-01-05","2017","01","05","","-5.1","","-9.9","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","25","","69",""
"2017-01-06","2017","01","06","","-5.6","","-11.5","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","28","","43",""
"2017-01-07","2017","01","07","","-6.3","","-12.1","","-9.2","","27.2","","0.0","","","M","","M","0.0","","","","25","","50",""
"2017-01-08","2017","01","08","","-7.7","","-10.8","","-9.3","","27.3","","0.0","","","M","","M","0.0","","","","31","","54",""
"2017-01-09","2017","01","09","","-0.9","","-7.8","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","22","","59",""
"2017-01-10","2017","01","10","","","","","","","","","","","","","","","","","","","","","","",""
