"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","6.1","","-6.7","","-0.3","","18.3","","0.0","","","","","","0.4","","","","29","","55",""
"2019-01-02","2019","01","02","","0.4","","-7.9","","-3.8","","21.8","","0.0","","","","","","2.1","","","","","M","","M"
"2019-01-03","2019","01","03","","1.8","","-0.4","","0.7","","17.3","","0.0","","","","","","0.0","","","","24","","48",""
"2019-01-04","2019","01","04","","6.6","","1.5","","4.1","","13.9","","0.0","","","","","","0.0","","","","24","","41",""
"2019-01-05","2019","01","05","","3.6","","1.2","","2.4","","15.6","","0.0","","","","","","0.0","","","","23","","39",""
"2019-01-06","2019","01","06","","5.0","","-6.7","","-0.9","","18.9","","0.0","","","","","","0.0","","","","32","","52",""
"2019-01-07","2019","01","07","","5.2","","-7.2","","-1.0","","19.0","","0.0","","","","","","2.7","","","","8","","63",""
"2019-01-08","2019","01","08","","8.7","","3.4","","6.1","","11.9","","0.0","","","","","","3.8","","","","22","","41",""
"2019-01-09","2019","01","09","","3.4","","-3.3","","0.1","","17.9","","0.0","","","","","","0.2","","","","28","","67",""
"2019-01-10","2019","01","10","","-3.3","","-9.9","","-6.6","","24.6","","0.0","","","","","","0.0","","","","31","","61",""
"2019-01-11","2019","01","11","","-6.3","","-12.0","","-9.2","","27.2","","0.0","","","","","","0.0","","","","32","","54",""
"2019-01-12","2019","01","12","","-4.4","","-6.6","","-5.5","","23.5","","0.0","","","","","","0.0","","","","1","","37",""
"2019-01-13","2019","01","13","","-5.4","","-9.6","","-7.5","","25.5","","0.0","","","","","","0.0","","","","4","","42",""
"2019-01-14","2019","01","14","","-1.6","","-5.9","","-3.8","","21.8","","0.0","","","","","","0.0","","","","27","","32",""
