Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2016-01-01,2016,1,1,1.0,-2.3,-0.7,0.0,0.0,0.0,0.0,59
2016-01-02,2016,1,2,2.2,-2.5,-0.2,0.0,0.0,0.0,0.0,61
2016-01-03,2016,1,3,2.7,-9.8,-3.6,0.0,0.0,0.0,0.0,54
2016-01-04,2016,1,4,-9.8,-13.8,-11.8,0.0,0.0,0.0,0.0,43
2016-01-05,2016,1,5,-1.4,-13.0,-7.2,0.0,0.0,0.0,0.0,48
2016-01-06,2016,1,6,3.0,-3.8,-0.4,0.0,0.0,0.0,0.0,48
2016-01-07,2016,1,7,2.5,-3.0,-0.3,0.0,0.0,0.0,0.0,<31
2016-01-08,2016,1,8,4.1,0.3,2.2,0.0,0.0,3.8,0.0,48
2016-01-09,2016,1,9,7.0,3.2,5.1,0.0,0.0,3.6,0.0,<31
2016-01-10,2016,1,10,,,,0.0,0.0,0.0,0.0,0
2016-01-11,2016,1,11,-4.8,-8.6,-6.7,0.0,0.0,0.0,0.0,74
2016-01-12,2016,1,12,-0.3,-8.0,-4.2,0.0,0.0,0.0,0.0,63
2016-01-13,2016,1,13,-6.0,-8.4,-7.2,0.0,0.0,0.0,0.0,56
2016-01-14,2016,1,14,-0.9,-7.0,-4.0,0.0,0.0,0.0,0.0,44
2016-01-15,2016,1,15,5.6,-1.4,2.1,0.0,0.0,1.8,0.0,50
2016-01-16,2016,1,16,4.1,-2.3,0.9,0.0,0.0,0.8,0.0,57
2016-01-17,2016,1,17,0.7,-9.0,-4.2,0.0,0.0,0.0,0.0,48
2016-01-18,2016,1,18,-6.4,-10.1,-8.3,0.0,0.0,0.0,0.0,50
2016-01-19,2016,1,19,-2.7,-12.9,-7.8,0.0,0.0,0.0,0.0,61
2016-01-20,2016,1,20,-2.7,-6.4,-4.6,0.0,0.0,0.0,0.0,35
2016-01-21,2016,1,21,-1.9,-6.8,-4.4,0.0,0.0,0.0,0.0,<31
2016-01-22,2016,1,22,-1.9,-6.4,-4.2,0.0,0.0,0.0,0.0,39
2016-01-23,2016,1,23,-1.8,-8.7,-5.3,0.0,0.0,0.0,0.0,46
2016-01-24,2016,1,24,0.4,-8.0,-3.8,0.0,0.0,0.0,0.0,37
2016-01-25,2016,1,25,4.6,-0.9,1.9,0.0,0.0,0.0,0.0,46
2016-01-26,2016,1,26,6.4,1.6,4.0,0.0,0.0,0.3,0.0,67
2016-01-27,2016,1,27,1.9,-1.7,0.1,0.0,0.0,0.0,0.0,69
2016-01-28,2016,1,28,2.4,-0.6,0.9,0.0,0.0,0.8,0.0,63
2016-01-29,2016,1,29,1.1,-7.6,-3.3,0.0,0.0,0.0,0.0,52
2016-01-30,2016,1,30,5.7,-6.6,-0.5,0.0,0.0,0.0,0.0,48
2016-01-31,2016,1,31,8.8,1.1,5.0,0.0,0.0,2.3,0.0,37
2016-02-01,2016,2,1,9.5,1.9,5.7,0.0,0.0,0.0,0.0,57
2016-02-02,2016,2,2,2.9,-0.6,1.2,0.0,0.0,5.3,0.0,70
2016-02-03,2016,2,3,12.6,2.8,7.7,0.0,0.0,4.8,0.0,74
2016-02-04,2016,2,4,4.3,-0.2,2.1,0.0,0.0,0.5,0.0,44
2016-02-05,2016,2,5,2.6,-1.7,0.5,0.0,0.0,0.0,0.0,39
2016-02-06,2016,2,6,4.9,0.2,2.6,0.0,0.0,0.0,0.0,50
2016-02-07,2016,2,7,6.0,0.0,3.0,0.0,0.0,0.0,0.0,37
2016-02-08,2016,2,8,5.0,-0.8,2.1,0.0,0.0,0.0,0.0,57
2016-02-09,2016,2,9,2.3,-1.7,0.3,0.0,0.0,0.3,0.0,57
2016-02-10,2016,2,10,0.0,-10.6,-5.3,0.0,0.0,0.0,0.0,46
2016-02-11,2016,2,11,-7.8,-15.5,-11.7,0.0,0.0,0.0,0.0,54
2016-02-12,2016,2,12,-3.3,-13.8,-8.6,0.0,0.0,0.0,0.0,59
2016-02-13,2016,2,13,-13.9,-24.3,-19.1,0.0,0.0,0.0,0.0,50
2016-02-14,2016,2,14,-9.5,-21.7,-15.6,0.0,0.0,0.0,0.0,33
2016-02-15,2016,2,15,0.2,-9.4,-4.6,0.0,0.0,0.0,0.0,37
2016-02-16,2016,2,16,0.3,-1.0,-0.4,0.0,0.0,0.0,0.0,37
2016-02-17,2016,2,17,0.0,-8.9,-4.5,0.0,0.0,0.0,0.0,48
2016-02-18,2016,2,18,-3.1,-12.8,-8.0,0.0,0.0,0.0,0.0,32
2016-02-19,2016,2,19,7.5,-3.5,2.0,0.0,0.0,5.1,0.0,54
2016-02-20,2016,2,20,11.7,3.2,7.5,0.0,0.0,0.0,0.0,59
2016-02-21,2016,2,21,6.7,-0.7,3.0,0.0,0.0,0.0,0.0,37
2016-02-22,2016,2,22,0.2,-3.7,-1.8,0.0,0.0,0.0,0.0,32
2016-02-23,2016,2,23,0.8,-2.3,-0.8,0.0,0.0,0.0,0.0,48
2016-02-24,2016,2,24,3.2,-0.3,1.5,0.0,0.0,27.1,0.0,70
2016-02-25,2016,2,25,2.4,-5.6,-1.6,0.0,0.0,0.8,0.0,63
2016-02-26,2016,2,26,-2.5,-9.5,-6.0,0.0,0.0,0.0,0.0,50
2016-02-27,2016,2,27,5.5,-3.2,1.2,0.0,0.0,0.0,0.0,63
2016-02-28,2016,2,28,11.0,1.0,6.0,0.0,0.0,0.0,0.0,63
2016-02-29,2016,2,29,9.0,-6.2,1.4,0.0,0.0,0.8,0.0,74
2016-03-01,2016,3,1,-5.1,-9.9,-7.5,0.0,0.0,0.0,0.0,70
2016-03-02,2016,3,2,-3.6,-9.9,-6.8,0.0,0.0,0.0,0.0,46
2016-03-03,2016,3,3,-2.9,-8.7,-5.8,0.0,0.0,0.0,0.0,33
2016-03-04,2016,3,4,0.1,-4.0,-2.0,0.0,0.0,0.8,0.0,32
2016-03-05,2016,3,5,0.4,-3.7,-1.7,0.0,0.0,0.6,0.0,<31
2016-03-06,2016,3,6,2.1,-4.3,-1.1,0.0,0.0,0.0,0.0,37
2016-03-07,2016,3,7,8.5,1.8,5.2,0.0,0.0,0.0,0.0,35
2016-03-08,2016,3,8,6.9,3.6,5.3,0.0,0.0,0.0,0.0,37
2016-03-09,2016,3,9,12.0,3.2,7.6,0.0,0.0,0.0,0.0,46
2016-03-10,2016,3,10,13.8,3.6,8.7,0.0,0.0,7.1,0.0,41
2016-03-11,2016,3,11,8.0,2.2,5.1,0.0,0.0,0.0,0.0,46
2016-03-12,2016,3,12,10.2,-0.4,4.9,0.0,0.0,0.0,0.0,39
2016-03-13,2016,3,13,8.9,3.4,6.2,0.0,0.0,0.0,0.0,52
2016-03-14,2016,3,14,7.4,3.4,5.4,0.0,0.0,13.1,0.0,52
2016-03-15,2016,3,15,10.2,5.1,7.7,0.0,0.0,7.8,0.0,<31
2016-03-16,2016,3,16,12.1,4.1,8.1,0.0,0.0,3.0,0.0,63
2016-03-17,2016,3,17,10.0,3.0,6.5,0.0,0.0,1.1,0.0,72
2016-03-18,2016,3,18,6.6,-1.2,2.7,0.0,0.0,0.0,0.0,44
2016-03-19,2016,3,19,0.3,-3.7,-1.7,0.0,0.0,0.0,0.0,33
2016-03-20,2016,3,20,1.6,-2.6,-0.5,0.0,0.0,0.0,0.0,41
2016-03-21,2016,3,21,4.3,-1.7,1.3,0.0,0.0,0.0,0.0,54
2016-03-22,2016,3,22,4.4,-2.0,1.2,0.0,0.0,1.5,0.0,46
2016-03-23,2016,3,23,5.2,0.1,2.7,0.0,0.0,4.3,0.0,57
2016-03-24,2016,3,24,1.0,-1.0,0.0,0.0,0.0,2.9,0.0,70
2016-03-25,2016,3,25,2.7,-2.7,0.0,0.0,0.0,11.3,0.0,48
2016-03-26,2016,3,26,3.6,-2.5,0.6,0.0,0.0,0.0,0.0,<31
2016-03-27,2016,3,27,9.8,-0.3,4.8,0.0,0.0,0.0,0.0,35
2016-03-28,2016,3,28,9.6,3.3,6.5,0.0,0.0,9.1,0.0,72
2016-03-29,2016,3,29,8.1,0.0,4.1,0.0,0.0,0.0,0.0,46
2016-03-30,2016,3,30,7.9,-1.0,3.5,0.0,0.0,0.0,0.0,<31
2016-03-31,2016,3,31,11.1,5.3,8.2,0.0,0.0,26.7,0.0,46
2016-04-01,2016,4,1,10.2,1.8,6.0,0.0,0.0,0.0,0.0,52
2016-04-02,2016,4,2,4.3,-2.2,1.1,0.0,0.0,0.0,0.0,59
