Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2014-01-01,2014,1,1,-8.2,-13.9,-11.1,0.0,0.0,0.0,0.0,<31
2014-01-02,2014,1,2,-13.8,-18.8,-16.3,0.0,0.0,0.0,0.0,<31
2014-01-03,2014,1,3,-6.6,-21.8,-14.2,0.0,0.0,0.0,0.0,<31
2014-01-04,2014,1,4,0.4,-6.8,-3.2,0.0,0.0,0.0,0.0,<31
2014-01-05,2014,1,5,1.3,-2.2,-0.5,0.0,0.0,10.6,0.0,<31
2014-01-06,2014,1,6,2.9,-15.6,-6.4,0.0,0.0,7.0,0.0,<31
2014-01-07,2014,1,7,-14.8,-21.7,-18.3,0.0,0.0,0.0,0.0,<31
2014-01-08,2014,1,8,-7.7,-15.4,-11.6,0.0,0.0,0.0,0.0,<31
2014-01-09,2014,1,9,-4.0,-11.5,-7.8,0.0,0.0,0.0,0.0,<31
2014-01-10,2014,1,10,2.8,-5.0,-1.1,0.0,0.0,2.8,0.0,<31
2014-01-11,2014,1,11,5.2,1.9,3.6,0.0,0.0,10.1,0.0,<31
2014-01-12,2014,1,12,2.7,1.1,1.9,0.0,0.0,0.0,0.0,<31
2014-01-13,2014,1,13,4.7,1.1,2.9,0.0,0.0,0.0,0.0,<31
2014-01-14,2014,1,14,4.3,0.8,2.6,0.0,0.0,0.0,0.0,<31
2014-01-15,2014,1,15,2.2,-3.8,-0.8,0.0,0.0,0.0,0.0,<31
2014-01-16,2014,1,16,-0.3,-3.5,-1.9,0.0,0.0,0.0,0.0,<31
2014-01-17,2014,1,17,1.8,-1.0,0.4,0.0,0.0,0.0,0.0,<31
2014-01-18,2014,1,18,-1.0,-6.8,-3.9,0.0,0.0,0.0,0.0,<31
2014-01-19,2014,1,19,,,,0.0,0.0,0.0,0.0,0
2014-01-20,2014,1,20,-1.6,-15.9,-8.8,0.0,0.0,0.0,0.0,<31
2014-01-21,2014,1,21,-14.6,-18.6,-16.6,0.0,0.0,0.0,0.0,<31
2014-01-22,2014,1,22,-11.8,-19.9,-15.9,0.0,0.0,0.0,0.0,<31
2014-01-23,2014,1,23,-12.0,-17.2,-14.6,0.0,0.0,0.0,0.0,<31
2014-01-24,2014,1,24,-6.0,-17.4,-11.7,0.0,0.0,0.0,0.0,<31
