"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-12-01 00:00","2015","12","01","00:00","2.3","","0.2","","86","","5","","28","","16.1","","101.35","","","","","","NA"
"2015-12-01 01:00","2015","12","01","01:00","3.1","","1.5","","89","","6","","34","","16.1","","101.27","","","","","","NA"
"2015-12-01 02:00","2015","12","01","02:00","3.4","","2.2","","92","","6","","35","","16.1","","101.20","","","","","","NA"
"2015-12-01 03:00","2015","12","01","03:00","3.9","","3.6","","98","","6","","37","","16.1","","101.17","","","","","","NA"
"2015-12-01 04:00","2015","12","01","04:00","3.9","","3.8","","99","","6","","41","","16.1","","100.98","","","","","","NA"
"2015-12-01 05:00","2015","12","01","05:00","4.1","","4.1","","100","","7","","34","","14.5","","100.99","","","","","","NA"
"2015-12-01 06:00","2015","12","01","06:00","4.6","","4.6","","100","","7","","37","","4.0","","100.87","","","","","","Rain,Fog"
"2015-12-01 07:00","2015","12","01","07:00","4.6","","4.6","","100","","7","","37","","4.0","","100.81","","","","","","Rain,Fog"
"2015-12-01 08:00","2015","12","01","08:00","6.0","","6.0","","100","","8","","22","","16.1","","100.79","","","","","","NA"
"2015-12-01 09:00","2015","12","01","09:00","6.3","","5.7","","96","","8","","22","","16.1","","100.74","","","","","","NA"
"2015-12-01 10:00","2015","12","01","10:00","6.3","","5.7","","96","","8","","15","","16.1","","100.65","","","","","","NA"
"2015-12-01 11:00","2015","12","01","11:00","6.6","","5.9","","95","","9","","15","","16.1","","100.59","","","","","","NA"
"2015-12-01 12:00","2015","12","01","12:00","6.7","","6.1","","96","","9","","17","","16.1","","100.44","","","","","","NA"
"2015-12-01 13:00","2015","12","01","13:00","6.5","","6.5","","100","","8","","13","","14.5","","100.35","","","","","","Rain"
"2015-12-01 14:00","2015","12","01","14:00","6.6","","6.6","","100","","7","","18","","4.8","","100.27","","","","","","Rain,Fog"
"2015-12-01 15:00","2015","12","01","15:00","6.7","","6.7","","100","","8","","15","","4.8","","100.22","","","","","","Fog"
"2015-12-01 16:00","2015","12","01","16:00","6.9","","6.9","","100","","8","","17","","3.2","","100.15","","","","","","Rain,Fog"
"2015-12-01 17:00","2015","12","01","17:00","6.6","","6.6","","100","","7","","15","","6.4","","100.12","","","","","","Fog"
"2015-12-01 18:00","2015","12","01","18:00","6.8","","6.8","","100","","7","","15","","3.2","","100.10","","","","","","Fog"
"2015-12-01 19:00","2015","12","01","19:00","7.5","","7.5","","100","","7","","15","","4.0","","100.08","","","","","","Rain,Fog"
"2015-12-01 20:00","2015","12","01","20:00","7.6","","7.6","","100","","8","","11","","3.6","","100.07","","","","","","Rain,Fog"
"2015-12-01 21:00","2015","12","01","21:00","7.7","","7.7","","100","","7","","9","","2.4","","100.07","","","","","","Rain,Fog"
"2015-12-01 22:00","2015","12","01","22:00","7.8","","7.8","","100","","11","","4","","3.6","","100.04","","","","","","Rain,Fog"
"2015-12-01 23:00","2015","12","01","23:00","7.0","","7.0","","100","","25","","8","","0.8","","100.05","","","","","","Fog"
"2015-12-02 00:00","2015","12","02","00:00","6.5","","6.5","","100","","26","","8","","0.6","","100.07","","","","","","Fog"
"2015-12-02 01:00","2015","12","02","01:00","6.3","","","M","","M","24","","11","","6.4","","100.16","","","","","","Haze"
"2015-12-02 02:00","2015","12","02","02:00","6.4","","","M","","M","25","","11","","8.1","","100.17","","","","","","Haze"
"2015-12-02 03:00","2015","12","02","03:00","6.3","","6.3","","100","","27","","13","","16.1","","100.19","","","","","","NA"
"2015-12-02 04:00","2015","12","02","04:00","6.4","","5.4","","93","","30","","13","","16.1","","100.18","","","","","","NA"
"2015-12-02 05:00","2015","12","02","05:00","5.8","","2.8","","81","","30","","18","","16.1","","100.16","","","","","","NA"
"2015-12-02 06:00","2015","12","02","06:00","5.3","","2.3","","81","","32","","11","","16.1","","100.16","","","","","","NA"
"2015-12-02 07:00","2015","12","02","07:00","5.1","","2.1","","81","","31","","8","","16.1","","100.22","","","","","","NA"
"2015-12-02 08:00","2015","12","02","08:00","5.2","","1.6","","78","","30","","5","","16.1","","100.24","","","","","","NA"
"2015-12-02 09:00","2015","12","02","09:00","4.6","","2.6","","87","","25","","5","","16.1","","100.23","","","","","","NA"
"2015-12-02 10:00","2015","12","02","10:00","4.7","","3.8","","94","","21","","4","","12.9","","100.22","","","","","","NA"
"2015-12-02 11:00","2015","12","02","11:00","5.5","","3.6","","87","","26","","5","","16.1","","100.12","","","","","","NA"
"2015-12-02 12:00","2015","12","02","12:00","5.9","","2.9","","81","","","","0","","16.1","","99.96","","","","","","NA"
"2015-12-02 13:00","2015","12","02","13:00","7.0","","0.4","","63","","34","","11","","16.1","","99.81","","","","","","NA"
"2015-12-02 14:00","2015","12","02","14:00","7.8","","2.1","","67","","","M","5","","16.1","","99.77","","","","","","NA"
"2015-12-02 15:00","2015","12","02","15:00","7.0","","2.8","","75","","","M","8","","16.1","","99.73","","","","","","NA"
"2015-12-02 16:00","2015","12","02","16:00","7.4","","0.5","","61","","32","","13","","16.1","","99.84","","","","","","NA"
"2015-12-02 17:00","2015","12","02","17:00","6.2","","0.1","","65","","34","","13","","16.1","","99.87","","","","","","NA"
"2015-12-02 18:00","2015","12","02","18:00","5.8","","-0.5","","64","","36","","9","","16.1","","99.82","","","","","","NA"
"2015-12-02 19:00","2015","12","02","19:00","5.6","","0.0","","67","","33","","8","","16.1","","99.91","","","","","","NA"
"2015-12-02 20:00","2015","12","02","20:00","5.3","","-0.1","","68","","33","","11","","16.1","","99.95","","","","","","NA"
"2015-12-02 21:00","2015","12","02","21:00","5.1","","-0.1","","69","","34","","11","","16.1","","99.97","","","","","","NA"
"2015-12-02 22:00","2015","12","02","22:00","4.4","","0.2","","74","","31","","11","","16.1","","99.94","","","","","","NA"
"2015-12-02 23:00","2015","12","02","23:00","4.0","","0.1","","75","","32","","13","","16.1","","99.99","","","","","","NA"
"2015-12-03 00:00","2015","12","03","00:00","3.4","","-0.1","","78","","34","","13","","16.1","","100.02","","","","","","NA"
"2015-12-03 01:00","2015","12","03","01:00","3.3","","-0.3","","77","","32","","15","","16.1","","100.05","","","","","","NA"
"2015-12-03 02:00","2015","12","03","02:00","3.7","","-0.1","","76","","33","","13","","16.1","","100.07","","","","","","NA"
"2015-12-03 03:00","2015","12","03","03:00","3.7","","-0.1","","76","","33","","15","","16.1","","100.12","","","","","","NA"
"2015-12-03 04:00","2015","12","03","04:00","3.6","","0.4","","80","","34","","8","","16.1","","100.16","","","","","","NA"
