Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2014-01-01,2014,1,1,-10.0,-15.3,-12.7,0.0,0.0,0.0,3.0,35
2014-01-02,2014,1,2,-15.2,-20.0,-17.6,0.0,1.0,0.8,3.0,48
2014-01-03,2014,1,3,-9.2,-23.8,-16.5,0.0,0.0,0.0,4.0,41
2014-01-04,2014,1,4,-0.4,-9.2,-4.8,0.0,0.4,0.4,4.0,57
2014-01-05,2014,1,5,-0.1,-2.6,-1.4,1.8,11.6,14.4,6.0,<31
2014-01-06,2014,1,6,-0.1,-17.5,-8.8,4.0,1.2,5.2,12.0,82
2014-01-07,2014,1,7,-17.3,-24.2,-20.8,0.0,0.0,0.0,12.0,82
2014-01-08,2014,1,8,-9.1,-17.5,-13.3,0.0,0.0,0.0,12.0,37
2014-01-09,2014,1,9,-6.2,-16.0,-11.1,0.0,0.2,0.2,8.0,<31
2014-01-10,2014,1,10,2.7,-8.1,-2.7,1.2,1.8,3.0,10.0,<31
2014-01-11,2014,1,11,6.8,1.6,4.2,7.8,0.0,7.8,8.0,56
2014-01-12,2014,1,12,2.3,0.4,1.4,0.0,0.0,0.0,4.0,59
2014-01-13,2014,1,13,7.5,0.5,4.0,1.0,0.0,1.0,3.0,41
2014-01-14,2014,1,14,4.2,-0.6,1.8,0.0,0.0,0.0,2.0,<31
2014-01-15,2014,1,15,0.7,-5.9,-2.6,0.0,0.0,0.0,1.0,63
2014-01-16,2014,1,16,-0.9,-5.4,-3.2,0.0,1.6,1.6,1.0,46
2014-01-17,2014,1,17,1.4,-2.9,-0.8,0.0,2.6,2.4,4.0,43
2014-01-18,2014,1,18,-2.7,-8.5,-5.6,0.0,0.6,0.6,3.0,39
2014-01-19,2014,1,19,-2.7,-8.8,-5.8,0.0,0.6,0.6,3.0,61
2014-01-20,2014,1,20,-2.7,-17.3,-10.0,0.0,1.0,0.8,4.0,43
2014-01-21,2014,1,21,-16.9,-21.2,-19.1,0.0,0.0,0.0,4.0,37
