"Station Name","TORONTO NORTH YORK"
"Province","ONTARIO"
"Latitude","43.78"
"Longitude","-79.47"
"Elevation","187.00"
"Climate Identifier","615S001"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","6.5","","0.0","","3.3","","14.7","","0.0","","4.6","","0.0","","4.6","","0","T","","","",""
"2012-01-02","2012","01","02","†","-0.5","","-4.0","","-2.3","","20.3","","0.0","","0.0","","0.4","","0.4","","0","T","","","",""
"2012-01-03","2012","01","03","†","-7.0","","-16.5","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2012-01-04","2012","01","04","†","0.5","","-15.0","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2012-01-05","2012","01","05","†","1.0","","-1.5","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2012-01-06","2012","01","06","†","8.5","","-2.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-07","2012","01","07","†","8.0","","0.5","","4.3","","13.7","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2012-01-08","2012","01","08","†","0.5","","-5.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2012-01-09","2012","01","09","†","4.5","","-3.0","","0.8","","17.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2012-01-10","2012","01","10","†","4.5","","1.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-11","2012","01","11","†","4.5","","-3.0","","0.8","","17.2","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"2012-01-12","2012","01","12","†","5.5","","0.5","","3.0","","15.0","","0.0","","4.6","","3.2","","9.0","","0","","","","",""
"2012-01-13","2012","01","13","†","-0.5","","-5.0","","-2.8","","20.8","","0.0","","0.0","","0.6","","0.6","","0","T","","","",""
"2012-01-14","2012","01","14","†","-10.5","","-14.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2012-01-15","2012","01","15","†","-3.5","","-17.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2012-01-16","2012","01","16","†","4.5","","-12.5","","-4.0","","22.0","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"2012-01-17","2012","01","17","†","9.5","","2.0","","5.8","","12.2","","0.0","","3.0","","0.0","T","3.0","","0","","","","",""
"2012-01-18","2012","01","18","†","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-19","2012","01","19","†","-1.5","","-10.0","","-5.8","","23.8","","0.0","","0.0","","2.2","","1.8","","0","","","","",""
"2012-01-20","2012","01","20","†","-6.0","","-12.0","","-9.0","","27.0","","0.0","","0.0","","3.0","","1.5","","1","","","","",""
"2012-01-21","2012","01","21","†","-1.5","","-9.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2012-01-22","2012","01","22","†","2.5","","-11.0","","-4.3","","22.3","","0.0","","0.6","","0.0","","0.6","","3","","","","",""
