Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2015-01-01,2015,1,1,-2.0,-8.0,-5.0,0.0,0.2,0.2,0,0.0
2015-01-02,2015,1,2,-1.0,-5.5,-3.3,0.0,0.0,0.0,0,0.0
2015-01-03,2015,1,3,2.0,-9.0,-3.5,13.0,4.2,18.8,0,0.0
2015-01-04,2015,1,4,3.5,-1.0,1.3,3.2,0.0,3.2,1,0.0
2015-01-05,2015,1,5,-9.0,-12.0,-10.5,0.0,0.2,0.2,0,0.0
2015-01-06,2015,1,6,-8.0,-13.5,-10.8,0.0,0.8,0.4,0,0.0
2015-01-07,2015,1,7,-11.5,-18.5,-15.0,0.0,0.0,0.0,1,0.0
2015-01-08,2015,1,8,-8.5,-20.0,-14.3,0.0,1.0,1.4,1,0.0
2015-01-09,2015,1,9,-5.5,-11.0,-8.3,0.0,0.2,0.0,2,0.0
2015-01-10,2015,1,10,-6.5,-16.0,-11.3,0.0,0.0,0.0,1,0.0
2015-01-11,2015,1,11,0.0,-13.5,-6.8,0.0,2.0,0.2,1,0.0
2015-01-12,2015,1,12,-0.5,-3.5,-2.0,0.0,0.4,0.2,2,0.0
2015-01-13,2015,1,13,-10.0,-21.5,-15.8,0.0,0.0,0.0,2,0.0
2015-01-14,2015,1,14,-3.5,-16.5,-10.0,0.0,0.0,0.0,1,0.0
2015-01-15,2015,1,15,-2.0,-13.0,-7.5,0.0,0.0,0.2,1,0.0
2015-01-16,2015,1,16,-8.0,-10.0,-9.0,0.0,2.0,0.2,1,0.0
2015-01-17,2015,1,17,6.0,-17.0,-5.5,0.2,0.0,0.2,1,0.0
2015-01-18,2015,1,18,3.5,-12.0,-4.3,2.4,0.0,2.4,0,0.0
2015-01-19,2015,1,19,-1.5,-4.5,-3.0,0.0,0.0,0.0,0,0.0
2015-01-20,2015,1,20,-6.0,-14.0,-10.0,0.0,0.0,0.0,0,0.0
2015-01-21,2015,1,21,-3.5,-15.0,-9.3,0.0,0.0,0.0,0,0.0
2015-01-22,2015,1,22,0.5,-10.5,-5.0,0.0,0.0,0.0,0,0.0
2015-01-23,2015,1,23,1.5,-4.0,-1.3,0.0,0.0,0.0,0,0.0
2015-01-24,2015,1,24,0.5,-6.0,-2.8,0.2,0.0,0.2,0,0.0
2015-01-25,2015,1,25,-6.0,-14.0,-10.0,0.0,0.0,0.0,0,0.0
2015-01-26,2015,1,26,-7.5,-15.0,-11.3,0.0,1.8,0.8,0,0.0
2015-01-27,2015,1,27,-6.0,-12.5,-9.3,0.0,0.0,0.0,2,0.0
2015-01-28,2015,1,28,-0.5,-13.5,-7.0,0.0,0.0,0.0,1,0.0
2015-01-29,2015,1,29,-0.5,-9.5,-5.0,0.0,7.0,7.4,1,0.0
2015-01-30,2015,1,30,-10.5,-13.0,-11.8,0.0,0.0,0.0,7,0.0
2015-01-31,2015,1,31,-2.5,-20.0,-11.3,0.0,0.0,0.0,6,0.0
2015-02-01,2015,2,1,-9.5,-13.0,-11.3,0.0,23.0,18.6,6,0.0
2015-02-02,2015,2,2,-10.5,-16.0,-13.3,0.0,1.0,0.2,32,0.0
