"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158409"
"WMO Identifier",""
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-01-01 00:00","2018","01","01","00:00","-20.6","","-24.0","","75","","34","","9","","","M","100.56","","","","-27","","NA"
"2018-01-01 01:00","2018","01","01","01:00","-21.2","","-24.5","","75","","34","","10","","","M","100.54","","","","-29","","NA"
"2018-01-01 02:00","2018","01","01","02:00","-20.2","","-23.6","","75","","24","","4","","","M","100.54","","","","-24","","NA"
"2018-01-01 03:00","2018","01","01","03:00","-20.5","","-23.8","","75","","25","","2","","","M","100.52","","","","-22","","NA"
"2018-01-01 04:00","2018","01","01","04:00","-21.1","","-24.2","","77","","25","","2","","","M","100.50","","","","-23","","NA"
"2018-01-01 05:00","2018","01","01","05:00","-20.9","","-23.9","","78","","28","","1","","","M","100.45","","","","-22","","NA"
"2018-01-01 06:00","2018","01","01","06:00","-19.8","","-22.7","","78","","12","","5","","","M","100.41","","","","-24","","NA"
"2018-01-01 07:00","2018","01","01","07:00","-20.6","","-23.6","","77","","36","","8","","","M","100.36","","","","-27","","NA"
"2018-01-01 08:00","2018","01","01","08:00","-20.6","","-23.6","","77","","1","","5","","","M","100.31","","","","-25","","NA"
"2018-01-01 09:00","2018","01","01","09:00","-20.1","","-23.2","","77","","36","","2","","","M","100.26","","","","-22","","NA"
"2018-01-01 10:00","2018","01","01","10:00","-14.2","","-17.6","","76","","25","","17","","","M","100.22","","","","-22","","NA"
