"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158409"
"WMO Identifier",""
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-01-01 00:00","2019","01","01","00:00","3.9","","3.6","","98","","16","","4","","","M","97.02","","","","","","NA"
"2019-01-01 01:00","2019","01","01","01:00","4.3","","4.1","","98","","24","","6","","","M","97.00","","","","","","NA"
"2019-01-01 02:00","2019","01","01","02:00","2.2","","1.9","","98","","32","","19","","","M","97.17","","","","","","NA"
"2019-01-01 03:00","2019","01","01","03:00","1.7","","1.1","","96","","32","","30","","","M","97.53","","","","","","NA"
"2019-01-01 04:00","2019","01","01","04:00","1.4","","0.2","","91","","31","","21","","","M","97.74","","","","","","NA"
"2019-01-01 05:00","2019","01","01","05:00","1.2","","0.0","","92","","31","","22","","","M","98.13","","","","","","NA"
"2019-01-01 06:00","2019","01","01","06:00","0.9","","-1.1","","87","","33","","26","","","M","98.42","","","","","","NA"
"2019-01-01 07:00","2019","01","01","07:00","0.4","","-2.2","","83","","33","","24","","","M","98.69","","","","","","NA"
"2019-01-01 08:00","2019","01","01","08:00","-0.1","","-2.7","","83","","31","","25","","","M","99.00","","","","-6","","NA"
"2019-01-01 09:00","2019","01","01","09:00","-1.4","","-4.0","","83","","32","","27","","","M","99.28","","","","-8","","NA"
"2019-01-01 10:00","2019","01","01","10:00","-1.7","","-4.5","","81","","32","","28","","","M","99.35","","","","-8","","NA"
"2019-01-01 11:00","2019","01","01","11:00","-2.2","","-5.7","","77","","31","","27","","","M","99.43","","","","-9","","NA"
"2019-01-01 12:00","2019","01","01","12:00","-2.4","","-6.0","","76","","34","","21","","","M","99.47","","","","-8","","NA"
"2019-01-01 13:00","2019","01","01","13:00","-3.0","","-6.8","","75","","31","","23","","","M","99.61","","","","-9","","NA"
"2019-01-01 14:00","2019","01","01","14:00","-3.4","","-7.3","","74","","34","","23","","","M","99.68","","","","-10","","NA"
"2019-01-01 15:00","2019","01","01","15:00","-3.6","","-7.5","","75","","34","","22","","","M","99.79","","","","-10","","NA"
"2019-01-01 16:00","2019","01","01","16:00","-4.7","","-8.0","","78","","34","","26","","","M","99.86","","","","-12","","NA"
"2019-01-01 17:00","2019","01","01","17:00","-5.6","","-8.9","","77","","32","","19","","","M","99.95","","","","-12","","NA"
"2019-01-01 18:00","2019","01","01","18:00","-6.4","","-10.2","","74","","33","","18","","","M","100.00","","","","-13","","NA"
"2019-01-01 19:00","2019","01","01","19:00","-6.8","","-10.6","","75","","32","","16","","","M","100.06","","","","-13","","NA"
"2019-01-01 20:00","2019","01","01","20:00","-7.2","","-10.7","","76","","32","","12","","","M","100.10","","","","-13","","NA"
"2019-01-01 21:00","2019","01","01","21:00","-7.7","","-10.5","","81","","34","","9","","","M","100.13","","","","-12","","NA"
"2019-01-01 22:00","2019","01","01","22:00","-8.2","","-10.9","","81","","35","","12","","","M","100.09","","","","-14","","NA"
"2019-01-01 23:00","2019","01","01","23:00","-8.3","","-11.0","","81","","35","","10","","","M","100.07","","","","-13","","NA"
"2019-01-02 00:00","2019","01","02","00:00","-8.2","","-10.9","","81","","32","","9","","","M","100.09","","","","-13","","NA"
"2019-01-02 01:00","2019","01","02","01:00","-8.3","","-11.1","","81","","34","","9","","","M","100.11","","","","-13","","NA"
"2019-01-02 02:00","2019","01","02","02:00","-8.5","","-10.8","","83","","33","","9","","","M","100.16","","","","-13","","NA"
"2019-01-02 03:00","2019","01","02","03:00","-8.6","","-11.0","","83","","35","","14","","","M","100.23","","","","-15","","NA"
"2019-01-02 04:00","2019","01","02","04:00","-8.7","","-11.2","","82","","33","","14","","","M","100.27","","","","-15","","NA"
"2019-01-02 05:00","2019","01","02","05:00","-9.3","","-11.9","","82","","34","","7","","","M","100.22","","","","-13","","NA"
"2019-01-02 06:00","2019","01","02","06:00","-9.6","","-12.1","","82","","5","","7","","","M","100.22","","","","-14","","NA"
"2019-01-02 07:00","2019","01","02","07:00","-10.3","","-12.2","","86","","4","","6","","","M","100.28","","","","-14","","NA"
"2019-01-02 08:00","2019","01","02","08:00","-10.3","","-12.3","","86","","10","","1","","","M","100.31","","","","-11","","NA"
"2019-01-02 09:00","2019","01","02","09:00","-9.5","","-12.0","","82","","9","","8","","","M","100.27","","","","-14","","NA"
"2019-01-02 10:00","2019","01","02","10:00","-8.6","","-12.0","","77","","6","","6","","","M","100.26","","","","-12","","NA"
"2019-01-02 11:00","2019","01","02","11:00","-7.3","","-12.7","","66","","8","","10","","","M","100.22","","","","-12","","NA"
"2019-01-02 12:00","2019","01","02","12:00","-6.4","","-11.8","","65","","12","","7","","","M","100.08","","","","-10","","NA"
"2019-01-02 13:00","2019","01","02","13:00","-4.5","","-9.0","","71","","14","","11","","","M","99.92","","","","-9","","NA"
"2019-01-02 14:00","2019","01","02","14:00","-4.1","","-8.2","","73","","12","","16","","","M","99.84","","","","-10","","NA"
"2019-01-02 15:00","2019","01","02","15:00","-4.3","","-7.2","","80","","13","","14","","","M","99.68","","","","-9","","NA"
"2019-01-02 16:00","2019","01","02","16:00","-4.1","","-6.5","","83","","13","","12","","","M","99.53","","","","-9","","NA"
"2019-01-02 17:00","2019","01","02","17:00","-3.6","","-5.9","","85","","15","","11","","","M","99.45","","","","-8","","NA"
"2019-01-02 18:00","2019","01","02","18:00","-3.6","","-5.2","","89","","14","","9","","","M","99.35","","","","-7","","NA"
"2019-01-02 19:00","2019","01","02","19:00","-3.3","","-4.4","","92","","12","","9","","","M","99.22","","","","-7","","NA"
"2019-01-02 20:00","2019","01","02","20:00","-3.2","","-4.3","","92","","10","","7","","","M","99.13","","","","-6","","NA"
"2019-01-02 21:00","2019","01","02","21:00","-3.7","","-4.7","","93","","9","","10","","","M","98.99","","","","-8","","NA"
"2019-01-02 22:00","2019","01","02","22:00","-3.7","","-4.5","","94","","10","","8","","","M","98.86","","","","-7","","NA"
"2019-01-02 23:00","2019","01","02","23:00","-3.6","","-4.4","","94","","10","","7","","","M","98.74","","","","-7","","NA"
"2019-01-03 00:00","2019","01","03","00:00","-3.4","","-4.2","","94","","5","","4","","","M","98.61","","","","-5","","NA"
"2019-01-03 01:00","2019","01","03","01:00","-3.0","","-3.8","","94","","34","","5","","","M","98.62","","","","-5","","NA"
"2019-01-03 02:00","2019","01","03","02:00","-3.1","","-3.9","","94","","32","","5","","","M","98.65","","","","-5","","NA"
"2019-01-03 03:00","2019","01","03","03:00","-3.0","","-3.8","","94","","26","","8","","","M","98.72","","","","-6","","NA"
"2019-01-03 04:00","2019","01","03","04:00","-3.5","","-4.6","","92","","25","","7","","","M","98.73","","","","-6","","NA"
"2019-01-03 05:00","2019","01","03","05:00","-1.6","","-3.2","","89","","24","","10","","","M","98.79","","","","-5","","NA"
"2019-01-03 06:00","2019","01","03","06:00","-0.9","","-3.2","","85","","25","","9","","","M","98.83","","","","-4","","NA"
