"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","","-8.8","","-22.1","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","10","","32","","46",""
"2018-01-02","2018","01","02","","-7.3","","-16.7","","-12.0","","30.0","","0.0","","0.0","","0.2","","0.2","","10","","25","","54",""
"2018-01-03","2018","01","03","","-6.6","","-13.5","","-10.1","","28.1","","0.0","","0.0","","1.6","","0.7","","10","","20","","41",""
"2018-01-04","2018","01","04","","-9.1","","-22.5","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","12","","35","","63",""
"2018-01-05","2018","01","05","","-16.4","","-23.4","","-19.9","","37.9","","0.0","","0.0","","0.4","","0.2","","12","","33","","56",""
"2018-01-06","2018","01","06","","-17.7","","-25.1","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","11","","32","","37",""
"2018-01-07","2018","01","07","","-2.5","","-21.8","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","11","","20","","44",""
"2018-01-08","2018","01","08","","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","4.8","","4.4","","12","","25","","43",""
"2018-01-09","2018","01","09","","0.2","","-2.8","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","10","","32","","33",""
"2018-01-10","2018","01","10","","3.0","","-6.3","","-1.7","","19.7","","0.0","","3.2","","0.0","","3.2","","9","","","","<31",""
"2018-01-11","2018","01","11","","10.9","","1.6","","6.3","","11.7","","0.0","","9.6","","0.0","","9.6","","8","","20","","50",""
"2018-01-12","2018","01","12","","11.8","","-12.8","","-0.5","","18.5","","0.0","","8.2","","2.0","","10.2","","0","T","33","","67",""
"2018-01-13","2018","01","13","","-12.5","","-16.8","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","2","","36","","61",""
"2018-01-14","2018","01","14","","-6.4","","-17.9","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","2","","16","","35",""
"2018-01-15","2018","01","15","","-7.9","","-11.7","","-9.8","","27.8","","0.0","","0.0","","8.8","","6.0","","1","","8","","52",""
"2018-01-16","2018","01","16","","-3.5","","-9.7","","-6.6","","24.6","","0.0","","0.0","","5.6","","1.5","","9","","","","<31",""
"2018-01-17","2018","01","17","","-5.4","","-13.4","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","13","","22","","48",""
"2018-01-18","2018","01","18","","-4.6","","-9.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","9","","23","","35",""
"2018-01-19","2018","01","19","","1.9","","-6.0","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","7","","23","","57",""
"2018-01-20","2018","01","20","","5.8","","-0.2","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","4","","23","","43",""
"2018-01-21","2018","01","21","","4.3","","-2.6","","0.9","","17.1","","0.0","","0.5","","0.0","","0.5","","3","","","","<31",""
"2018-01-22","2018","01","22","","1.8","","-0.2","","0.8","","17.2","","0.0","","14.5","","0.0","","14.5","","0","T","9","","44",""
"2018-01-23","2018","01","23","","6.4","","-6.1","","0.2","","17.8","","0.0","","2.3","","0.2","","2.3","","0","T","32","","48",""
"2018-01-24","2018","01","24","","-6.1","","-12.9","","-9.5","","27.5","","0.0","","0.0","","0.2","","0.2","","0","T","33","","59",""
"2018-01-25","2018","01","25","","-3.0","","-11.7","","-7.4","","25.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2018-01-26","2018","01","26","","5.0","","-5.2","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","0","T","12","","35",""
"2018-01-27","2018","01","27","","8.9","","-0.9","","4.0","","14.0","","0.0","","1.0","","0.0","","1.0","","","","22","","50",""
"2018-01-28","2018","01","28","","3.9","","-3.9","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"2018-01-29","2018","01","29","","-2.2","","-7.7","","-5.0","","23.0","","0.0","","0.0","","4.8","","4.2","","2","","1","","32",""
"2018-01-30","2018","01","30","","-7.6","","-14.6","","-11.1","","29.1","","0.0","","","M","4.4","","0.3","","5","","35","","50",""
