"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","-0.1","","-4.7","","71","","26","","18","","24.1","","98.27","","","","-5","","NA"
"2017-01-01 01:00","2017","01","01","01:00","0.2","","-4.5","","71","","27","","15","","24.1","","98.45","","","","","","Cloudy"
"2017-01-01 02:00","2017","01","01","02:00","-0.2","","-4.8","","71","","25","","20","","24.1","","98.57","","","","-5","","NA"
"2017-01-01 03:00","2017","01","01","03:00","-0.2","","-4.8","","71","","27","","16","","24.1","","98.76","","","","-5","","NA"
"2017-01-01 04:00","2017","01","01","04:00","-0.3","","-4.8","","72","","25","","15","","24.1","","98.92","","","","-5","","Cloudy"
"2017-01-01 05:00","2017","01","01","05:00","-0.5","","-4.8","","73","","26","","7","","24.1","","99.00","","","","-3","","NA"
"2017-01-01 06:00","2017","01","01","06:00","-0.5","","-4.8","","73","","26","","10","","24.1","","99.12","","","","-4","","NA"
"2017-01-01 07:00","2017","01","01","07:00","-0.4","","-4.8","","72","","25","","8","","24.1","","99.24","","","","-3","","Mostly Cloudy"
"2017-01-01 08:00","2017","01","01","08:00","-0.9","","-5.3","","72","","22","","16","","24.1","","99.37","","","","-6","","NA"
"2017-01-01 09:00","2017","01","01","09:00","-1.3","","-6.3","","69","","24","","18","","24.1","","99.50","","","","-7","","NA"
"2017-01-01 10:00","2017","01","01","10:00","-0.5","","-6.3","","65","","24","","15","","24.1","","99.63","","","","-5","","Clear"
"2017-01-01 11:00","2017","01","01","11:00","0.2","","-6.5","","61","","24","","14","","24.1","","99.72","","","","","","NA"
