"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","615HMAK"
"WMO Identifier","71639"
"TC Identifier","YKZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","","-2.0","","-12.3","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","9","","","","<31",""
"2013-01-02","2013","01","02","","-3.1","","-9.0","","-6.1","","24.1","","0.0","","0.0","","1.0","","0.6","","9","","","","<31",""
"2013-01-03","2013","01","03","","-1.3","","-10.3","","-5.8","","23.8","","0.0","","0.0","","2.8","","1.6","","12","","25","E","35","E"
"2013-01-04","2013","01","04","","0.6","","-2.1","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","12","","25","E","46","E"
"2013-01-05","2013","01","05","","2.3","","-1.2","","0.6","","17.4","","0.0","","0.0","","0.4","","0.4","","10","","","","<31",""
"2013-01-06","2013","01","06","","2.6","","-5.2","","-1.3","","19.3","","0.0","","0.0","T","0.4","","0.4","","9","","32","E","37","E"
"2013-01-07","2013","01","07","","0.1","","-7.7","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","5","","22","E","37","E"
"2013-01-08","2013","01","08","","2.5","","-5.3","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"2013-01-09","2013","01","09","","6.0","","-7.3","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","2","","31","E","56","E"
"2013-01-10","2013","01","10","","6.0","","0.9","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2013-01-11","2013","01","11","","7.1","","2.0","","4.6","","13.4","","0.0","","8.8","","0.0","","8.8","","0","T","","","<31",""
"2013-01-12","2013","01","12","","13.2","","4.5","","8.9","","9.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2013-01-13","2013","01","13","","13.0","","3.7","","8.4","","9.6","","0.0","","29.2","","0.0","","29.2","","0","","","","<31",""
"2013-01-14","2013","01","14","","4.1","","-4.0","","0.1","","17.9","","0.0","","2.4","","0.0","","2.4","","0","","28","E","35","E"
"2013-01-15","2013","01","15","","0.7","","-5.1","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2013-01-16","2013","01","16","","3.2","","-4.7","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","","25","E","32","E"
"2013-01-17","2013","01","17","","0.9","","-12.3","","-5.7","","23.7","","0.0","","0.0","","1.4","","1.0","","0","T","31","E","48","E"
"2013-01-18","2013","01","18","","-0.1","","-14.4","","-7.3","","25.3","","0.0","","0.0","","0.6","","0.4","","1","","19","E","33","E"
"2013-01-19","2013","01","19","","6.8","","-0.2","","3.3","","14.7","","0.0","","0.4","","0.0","","0.4","","1","","23","E","56","E"
"2013-01-20","2013","01","20","","6.3","","-9.3","","-1.5","","19.5","","0.0","","0.8","","0.4","","1.0","","0","T","27","E","93","E"
"2013-01-21","2013","01","21","","-5.9","","-12.6","","-9.3","","27.3","","0.0","","0.0","","0.8","","0.4","","1","","28","E","35","E"
"2013-01-22","2013","01","22","","-12.2","","-18.6","","-15.4","","33.4","","0.0","","0.0","","0.2","","0.2","","0","T","","","<31",""
"2013-01-23","2013","01","23","","-9.7","","-20.8","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2013-01-24","2013","01","24","","-12.0","","-16.7","","-14.4","","32.4","","0.0","","0.0","","0.0","","0.0","","0","T","33","E","44","E"
"2013-01-25","2013","01","25","","-8.6","","-15.9","","-12.3","","30.3","","0.0","","0.0","","3.0","","2.2","","0","T","","","<31",""
"2013-01-26","2013","01","26","","-3.5","","-15.2","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"2013-01-27","2013","01","27","","-2.0","","-15.1","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2013-01-28","2013","01","28","","2.1","","-2.8","","-0.4","","18.4","","0.0","","1.4","","7.4","","6.8","","5","","","","<31",""
