"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","615HMAK"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-02-01 00:00","2014","02","01","00:00","-7.3","","-9.4","","85","","","","0","","24.1","","99.66","","","","","","Mostly Cloudy"
"2014-02-01 01:00","2014","02","01","01:00","-7.6","","-9.6","","86","","","","0","","24.1","","99.70","","","","","","Cloudy"
"2014-02-01 02:00","2014","02","01","02:00","-6.6","","-8.5","","86","","","","0","","24.1","","99.70","","","","","","Cloudy"
"2014-02-01 03:00","2014","02","01","03:00","-5.6","","-7.8","","84","","","","0","","19.3","","99.76","","","","","","Cloudy"
"2014-02-01 04:00","2014","02","01","04:00","-4.9","","-7.2","","84","","","","0","","19.3","","99.72","","","","","","Cloudy"
"2014-02-01 05:00","2014","02","01","05:00","-4.8","","-7.1","","84","","","","0","","19.3","","99.74","","","","","","Cloudy"
"2014-02-01 06:00","2014","02","01","06:00","-4.7","","-7.0","","84","","","","0","","4.8","","99.75","","","","","","Snow"
"2014-02-01 07:00","2014","02","01","07:00","-3.8","","-5.5","","88","","10","","4","","8.0","","99.66","","","","-5","","Snow"
"2014-02-01 08:00","2014","02","01","08:00","-3.3","","-4.7","","90","","","","0","","2.4","","99.69","","","","","","Snow"
"2014-02-01 09:00","2014","02","01","09:00","-2.8","","-4.2","","90","","","","0","","4.0","","99.64","","","","","","Snow"
"2014-02-01 10:00","2014","02","01","10:00","-2.1","","-3.5","","90","","10","","4","","3.2","","99.62","","","","-4","","Snow"
"2014-02-01 11:00","2014","02","01","11:00","-1.3","","-2.5","","92","","12","","7","","2.4","","99.52","","","","-4","","Snow"
"2014-02-01 12:00","2014","02","01","12:00","-0.6","","-1.6","","93","","15","","9","","1.2","","99.41","","","","-4","","Snow"
"2014-02-01 13:00","2014","02","01","13:00","-0.5","","-1.2","","95","","13","","7","","0.8","","99.25","","","","-3","","Moderate Snow"
"2014-02-01 14:00","2014","02","01","14:00","-0.5","","-1.0","","96","","10","","9","","0.8","","99.08","","","","-4","","Moderate Snow"
"2014-02-01 15:00","2014","02","01","15:00","-0.2","","-0.9","","95","","11","","13","","1.2","","98.88","","","","-4","","Snow"
"2014-02-01 16:00","2014","02","01","16:00","-0.1","","-0.7","","96","","12","","15","","1.2","","98.76","","","","-5","","Snow"
"2014-02-01 17:00","2014","02","01","17:00","-0.2","","-0.5","","98","","13","","6","","0.8","","98.73","","","","-2","","Moderate Snow"
"2014-02-01 18:00","2014","02","01","18:00","-0.2","","-0.4","","99","","9","","7","","0.8","","98.66","","","","-3","","Moderate Snow"
"2014-02-01 19:00","2014","02","01","19:00","-0.1","","-0.4","","98","","13","","6","","1.2","","98.62","","","","-2","","Snow"
"2014-02-01 20:00","2014","02","01","20:00","0.0","","-0.3","","98","","13","","7","","2.0","","98.56","","","","-2","","Snow"
"2014-02-01 21:00","2014","02","01","21:00","0.1","","-0.1","","99","","19","","4","","1.6","","98.57","","","","","","Snow"
"2014-02-01 22:00","2014","02","01","22:00","0.3","","0.0","","98","","24","","4","","2.0","","98.57","","","","","","Snow"
"2014-02-01 23:00","2014","02","01","23:00","0.3","","0.0","","98","","24","","4","","1.2","","98.61","","","","","","Snow"
"2014-02-02 00:00","2014","02","02","00:00","0.3","","0.1","","99","","26","","6","","1.2","","98.61","","","","","","Snow"
"2014-02-02 01:00","2014","02","02","01:00","-0.5","","-1.0","","96","","33","","9","","16.1","","98.69","","","","-4","","Snow"
"2014-02-02 02:00","2014","02","02","02:00","-1.5","","-2.4","","94","","32","","15","","24.1","","98.78","","","","-6","","Cloudy"
"2014-02-02 03:00","2014","02","02","03:00","-1.9","","-3.2","","91","","32","","13","","19.3","","98.86","","","","-6","","Cloudy"
"2014-02-02 04:00","2014","02","02","04:00","-2.3","","-3.5","","91","","31","","13","","19.3","","98.94","","","","-7","","Cloudy"
"2014-02-02 05:00","2014","02","02","05:00","-2.8","","-4.2","","90","","32","","17","","19.3","","98.98","","","","-8","","Cloudy"
"2014-02-02 06:00","2014","02","02","06:00","-3.1","","-4.7","","89","","32","","11","","19.3","","99.08","","","","-7","","Cloudy"
"2014-02-02 07:00","2014","02","02","07:00","-3.6","","-5.4","","87","","32","","9","","19.3","","99.14","","","","-7","","Mostly Cloudy"
"2014-02-02 08:00","2014","02","02","08:00","-3.9","","-5.7","","87","","32","","15","","24.1","","99.18","","","","-9","","Cloudy"
"2014-02-02 09:00","2014","02","02","09:00","-4.2","","-6.3","","85","","33","","9","","24.1","","99.30","","","","-8","","Cloudy"
"2014-02-02 10:00","2014","02","02","10:00","-4.0","","-6.4","","83","","33","","11","","24.1","","99.34","","","","-8","","Cloudy"
