"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","615HMAK"
"WMO Identifier","71639"
"TC Identifier","YKZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","-10.3","","-16.9","","-13.6","","31.6","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2014-01-02","2014","01","02","","-16.7","","-21.2","","-19.0","","37.0","","0.0","","0.0","","0.6","","0.6","","11","","1","E","35","E"
"2014-01-03","2014","01","03","","-9.2","","-25.3","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2014-01-04","2014","01","04","","-0.9","","-9.4","","-5.2","","23.2","","0.0","","0.0","","1.4","","1.4","","11","","20","E","41","E"
"2014-01-05","2014","01","05","","0.2","","-3.2","","-1.5","","19.5","","0.0","","0.0","T","13.2","","11.6","","11","","","","<31",""
"2014-01-06","2014","01","06","","0.6","","-16.4","","-7.9","","25.9","","0.0","","1.0","","3.8","","4.8","","24","","27","E","59","E"
"2014-01-07","2014","01","07","","-16.3","","-23.5","","-19.9","","37.9","","0.0","","0.0","","0.0","T","0.0","T","22","","24","E","48","E"
"2014-01-08","2014","01","08","","-8.8","","-17.7","","-13.3","","31.3","","0.0","","0.0","","0.2","","0.2","","22","","21","E","32","E"
"2014-01-09","2014","01","09","","-6.5","","-15.4","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","21","","","","<31",""
"2014-01-10","2014","01","10","","1.9","","-9.0","","-3.6","","21.6","","0.0","","1.0","","2.8","","3.4","","23","","","","<31",""
"2014-01-11","2014","01","11","","6.5","","1.7","","4.1","","13.9","","0.0","","12.4","","0.0","","12.4","","17","","25","E","33","E"
"2014-01-12","2014","01","12","","2.4","","-0.6","","0.9","","17.1","","0.0","","0.0","","0.0","T","0.0","T","11","","25","E","35","E"
"2014-01-13","2014","01","13","","6.1","","-3.3","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","11","","19","E","33","E"
"2014-01-14","2014","01","14","","4.1","","-0.2","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"2014-01-15","2014","01","15","","1.0","","-5.6","","-2.3","","20.3","","0.0","","0.0","","0.4","","0.4","","5","","22","E","48","E"
"2014-01-16","2014","01","16","","-1.9","","-6.4","","-4.2","","22.2","","0.0","","0.0","","3.2","","2.4","","4","","19","E","35","E"
"2014-01-17","2014","01","17","","0.6","","-5.0","","-2.2","","20.2","","0.0","","0.0","","4.0","","3.2","","10","","","","<31",""
"2014-01-18","2014","01","18","","-2.8","","-8.5","","-5.7","","23.7","","0.0","","0.0","","2.4","","1.6","","12","","","","<31",""
"2014-01-19","2014","01","19","","-2.8","","-8.4","","-5.6","","23.6","","0.0","","0.0","","1.2","","1.2","","12","","23","E","46","E"
"2014-01-20","2014","01","20","","-2.8","","-19.1","","-11.0","","29.0","","0.0","","0.0","","2.0","","1.0","","14","","33","E","37","E"
"2014-01-21","2014","01","21","","-17.4","","-23.6","","-20.5","","38.5","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"2014-01-22","2014","01","22","","-14.4","","-24.8","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"2014-01-23","2014","01","23","","-15.2","","-20.4","","-17.8","","35.8","","0.0","","0.0","","0.4","","0.4","","15","","31","E","33","E"
"2014-01-24","2014","01","24","","-9.3","","-21.8","","-15.6","","33.6","","0.0","","0.0","","0.8","","0.6","","15","","21","E","56","E"
"2014-01-25","2014","01","25","","-4.1","","-18.4","","-11.3","","29.3","","0.0","","0.0","","4.2","","3.0","","18","","32","E","48","E"
"2014-01-26","2014","01","26","","-5.6","","-23.8","","-14.7","","32.7","","0.0","","0.0","","5.8","","3.0","","19","","","","<31",""
"2014-01-27","2014","01","27","","-5.6","","-17.2","","-11.4","","29.4","","0.0","","0.0","","2.2","","1.6","","23","","27","E","46","E"
