"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","","2.0","","-5.6","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","8","","27","","39",""
"2017-01-02","2017","01","02","","3.3","","-6.0","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","5","","10","","43",""
"2017-01-03","2017","01","03","","3.2","","1.1","","2.2","","15.8","","0.0","","16.2","","0.0","","16.2","","1","","","","<31",""
"2017-01-04","2017","01","04","","2.5","","-8.9","","-3.2","","21.2","","0.0","","0.4","","0.0","T","0.4","","0","T","23","","69",""
"2017-01-05","2017","01","05","","-6.8","","-11.9","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","50",""
"2017-01-06","2017","01","06","","-7.2","","-13.3","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","T","28","","32",""
"2017-01-07","2017","01","07","","-7.8","","-14.2","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","33",""
"2017-01-08","2017","01","08","","-10.3","","-13.6","","-12.0","","30.0","","0.0","","0.0","","0.6","","0.3","","1","","33","","50",""
"2017-01-09","2017","01","09","","-3.3","","-10.3","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","1","","22","","46",""
"2017-01-10","2017","01","10","","6.6","","-3.3","","1.7","","16.3","","0.0","","9.6","","11.0","","19.6","","1","","19","","59",""
"2017-01-11","2017","01","11","","6.7","","0.7","","3.7","","14.3","","0.0","","4.6","","0.0","","4.6","","0","T","27","","91",""
"2017-01-12","2017","01","12","","7.7","","-2.3","","2.7","","15.3","","0.0","","14.6","","0.8","","15.4","","0","T","25","","43",""
"2017-01-13","2017","01","13","","-1.9","","-10.5","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","","52",""
"2017-01-14","2017","01","14","","-3.6","","-11.5","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2017-01-15","2017","01","15","","-0.5","","-6.9","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2017-01-16","2017","01","16","","3.1","","-6.7","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2017-01-17","2017","01","17","","0.7","","-3.2","","-1.3","","19.3","","0.0","","13.6","","0.0","","13.6","","0","T","9","","52",""
"2017-01-18","2017","01","18","","2.7","","0.4","","1.6","","16.4","","0.0","","0.2","","0.0","","0.2","","","","","","<31",""
"2017-01-19","2017","01","19","","2.7","","0.9","","1.8","","16.2","","0.0","","0.0","T","0.0","","0.0","T","","","","","<31",""
"2017-01-20","2017","01","20","","3.2","","0.6","","1.9","","16.1","","0.0","","0.4","","0.0","","0.4","","","","12","","32",""
"2017-01-21","2017","01","21","","4.9","","1.3","","3.1","","14.9","","0.0","","0.0","T","0.0","","0.0","T","","","","","<31",""
"2017-01-22","2017","01","22","","5.5","","1.5","","3.5","","14.5","","0.0","","0.3","","0.0","","0.3","","","","","","<31",""
"2017-01-23","2017","01","23","","4.0","","-0.5","","1.8","","16.2","","0.0","","0.3","","0.0","","0.3","","","","9","","39",""
"2017-01-24","2017","01","24","","0.6","","-1.1","","-0.3","","18.3","","0.0","","0.0","","0.6","","0.4","","1","","","","<31",""
"2017-01-25","2017","01","25","","4.1","","0.2","","2.2","","15.8","","0.0","","1.7","","0.0","","1.7","","1","","","","<31",""
