"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","615HMAK"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-01-01 00:00","2013","01","01","00:00","-1.9","","-7.0","","68","","28","","19","","24.1","","98.81","","","","-7","","Mostly Cloudy"
"2013-01-01 01:00","2013","01","01","01:00","-2.1","","-7.5","","66","","29","","19","","24.1","","98.79","","","","-8","","Snow"
"2013-01-01 02:00","2013","01","01","02:00","-2.7","","-7.4","","70","","27","","13","","24.1","","98.85","","","","-7","","Cloudy"
"2013-01-01 03:00","2013","01","01","03:00","-3.2","","-8.1","","69","","29","","17","","24.1","","98.94","","","","-9","","Mostly Cloudy"
"2013-01-01 04:00","2013","01","01","04:00","-3.4","","-8.0","","70","","28","","13","","24.1","","98.95","","","","-8","","Cloudy"
"2013-01-01 05:00","2013","01","01","05:00","-3.8","","-8.5","","70","","31","","15","","24.1","","98.96","","","","-9","","Snow"
"2013-01-01 06:00","2013","01","01","06:00","-5.6","","-8.5","","80","","34","","13","","19.3","","99.06","","","","-11","","Snow"
"2013-01-01 07:00","2013","01","01","07:00","-5.6","","-9.1","","76","","32","","19","","19.3","","99.10","","","","-12","","Snow"
"2013-01-01 08:00","2013","01","01","08:00","-7.8","","-11.2","","77","","36","","22","","19.3","","99.19","","","","-15","","Snow"
"2013-01-01 09:00","2013","01","01","09:00","-8.3","","-12.2","","73","","34","","11","","19.3","","99.28","","","","-14","","Mostly Cloudy"
"2013-01-01 10:00","2013","01","01","10:00","-8.1","","-12.4","","71","","32","","15","","19.3","","99.33","","","","-14","","Snow Showers"
"2013-01-01 11:00","2013","01","01","11:00","-8.0","","-13.2","","66","","35","","17","","19.3","","99.38","","","","-15","","Mainly Clear"
"2013-01-01 12:00","2013","01","01","12:00","-7.3","","-13.4","","62","","31","","20","","24.1","","99.35","","","","-14","","Mainly Clear"
"2013-01-01 13:00","2013","01","01","13:00","-7.0","","-13.0","","62","","30","","13","","24.1","","99.28","","","","-13","","Mainly Clear"
"2013-01-01 14:00","2013","01","01","14:00","-6.9","","-13.2","","61","","31","","17","","24.1","","99.16","","","","-13","","Mainly Clear"
"2013-01-01 15:00","2013","01","01","15:00","-6.3","","-12.8","","60","","29","","13","","24.1","","99.19","","","","-12","","Mainly Clear"
"2013-01-01 16:00","2013","01","01","16:00","-6.4","","-13.3","","58","","30","","13","","24.1","","99.22","","","","-12","","Mainly Clear"
"2013-01-01 17:00","2013","01","01","17:00","-7.6","","-13.4","","63","","29","","6","","24.1","","99.25","","","","-11","","Mainly Clear"
"2013-01-01 18:00","2013","01","01","18:00","-8.2","","-13.4","","66","","27","","6","","24.1","","99.32","","","","-11","","Clear"
"2013-01-01 19:00","2013","01","01","19:00","-8.5","","-15.2","","58","","26","","6","","24.1","","99.31","","","","-12","","Mainly Clear"
