"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158409"
"WMO Identifier",""
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-06-01 00:00","2019","06","01","00:00","11.4","","5.9","","69","","8","","8","","","M","98.45","","","","","","NA"
"2019-06-01 01:00","2019","06","01","01:00","11.0","","7.2","","77","","2","","14","","","M","98.48","","","","","","NA"
"2019-06-01 02:00","2019","06","01","02:00","11.6","","7.9","","78","","13","","9","","","M","98.38","","","","","","NA"
"2019-06-01 03:00","2019","06","01","03:00","11.5","","7.8","","78","","12","","9","","","M","98.38","","","","","","NA"
"2019-06-01 04:00","2019","06","01","04:00","11.2","","7.6","","79","","9","","8","","","M","98.38","","","","","","NA"
"2019-06-01 05:00","2019","06","01","05:00","10.8","","7.8","","81","","10","","4","","","M","98.38","","","","","","NA"
"2019-06-01 06:00","2019","06","01","06:00","11.5","","7.9","","79","","6","","8","","","M","98.44","","","","","","NA"
"2019-06-01 07:00","2019","06","01","07:00","13.0","","8.4","","74","","4","","9","","","M","98.46","","","","","","NA"
"2019-06-01 08:00","2019","06","01","08:00","14.4","","9.4","","72","","13","","7","","","M","98.44","","","","","","NA"
"2019-06-01 09:00","2019","06","01","09:00","15.9","","9.8","","67","","14","","3","","","M","98.50","","","","","","NA"
"2019-06-01 10:00","2019","06","01","10:00","17.6","","11.3","","66","","35","","3","","","M","98.54","","","","","","NA"
