"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-08-01 00:00","2015","08","01","00:00","19.8","","12.4","","62","","28","","8","","24.1","","98.54","","","","","","NA"
"2015-08-01 01:00","2015","08","01","01:00","19.5","","12.1","","62","","31","","11","","24.1","","98.53","","","","","","Mainly Clear"
"2015-08-01 02:00","2015","08","01","02:00","18.5","","13.0","","70","","31","","10","","24.1","","98.56","","","","","","NA"
"2015-08-01 03:00","2015","08","01","03:00","18.1","","13.5","","74","","29","","11","","24.1","","98.57","","","","","","NA"
"2015-08-01 04:00","2015","08","01","04:00","17.2","","13.0","","76","","28","","8","","24.1","","98.59","","","","","","Clear"
"2015-08-01 05:00","2015","08","01","05:00","16.6","","12.4","","76","","28","","9","","24.1","","98.63","","","","","","NA"
"2015-08-01 06:00","2015","08","01","06:00","16.6","","12.4","","76","","28","","8","","24.1","","98.66","","","","","","NA"
"2015-08-01 07:00","2015","08","01","07:00","18.2","","12.7","","70","","31","","11","","24.1","","98.72","","","","","","Clear"
"2015-08-01 08:00","2015","08","01","08:00","19.6","","12.5","","63","","32","","29","","24.1","","98.74","","","","","","NA"
"2015-08-01 09:00","2015","08","01","09:00","21.1","","12.1","","56","","31","","17","","24.1","","98.74","","","","","","NA"
"2015-08-01 10:00","2015","08","01","10:00","22.8","","12.6","","52","","29","","13","","24.1","","98.73","","25","","","","Mainly Clear"
"2015-08-01 11:00","2015","08","01","11:00","23.3","","11.2","","46","","30","","19","","24.1","","98.74","","25","","","","NA"
"2015-08-01 12:00","2015","08","01","12:00","24.4","","11.6","","44","","29","","16","","24.1","","98.72","","26","","","","NA"
"2015-08-01 13:00","2015","08","01","13:00","24.3","","11.1","","43","","31","","19","","24.1","","98.66","","26","","","","Mostly Cloudy"
"2015-08-01 14:00","2015","08","01","14:00","21.8","","14.3","","62","","29","","17","","24.1","","98.65","","25","","","","NA"
"2015-08-01 15:00","2015","08","01","15:00","24.4","","12.9","","48","","30","","16","","24.1","","98.61","","27","","","","NA"
"2015-08-01 16:00","2015","08","01","16:00","20.6","","15.0","","70","","12","","6","","24.1","","98.62","","25","","","","Thunderstorms,Rain Showers"
"2015-08-01 17:00","2015","08","01","17:00","23.2","","14.9","","59","","6","","13","","24.1","","98.60","","27","","","","NA"
"2015-08-01 18:00","2015","08","01","18:00","23.0","","17.1","","69","","19","","13","","24.1","","98.60","","28","","","","NA"
"2015-08-01 19:00","2015","08","01","19:00","21.4","","14.4","","64","","14","","10","","24.1","","98.64","","25","","","","Mainly Clear"
"2015-08-01 20:00","2015","08","01","20:00","20.0","","14.7","","71","","14","","4","","24.1","","98.68","","","","","","NA"
"2015-08-01 21:00","2015","08","01","21:00","19.1","","14.6","","75","","36","","2","","24.1","","98.73","","","","","","NA"
"2015-08-01 22:00","2015","08","01","22:00","18.3","","14.7","","79","","36","","3","","24.1","","98.75","","","","","","Clear"
"2015-08-01 23:00","2015","08","01","23:00","17.8","","14.7","","82","","4","","3","","24.1","","98.73","","","","","","NA"
"2015-08-02 00:00","2015","08","02","00:00","16.8","","14.5","","86","","22","","4","","24.1","","98.73","","","","","","NA"
"2015-08-02 01:00","2015","08","02","01:00","17.1","","14.8","","86","","","","0","","24.1","","98.71","","","","","","Mainly Clear"
"2015-08-02 02:00","2015","08","02","02:00","17.0","","14.0","","82","","","","0","","24.1","","98.69","","","","","","NA"
"2015-08-02 03:00","2015","08","02","03:00","17.4","","14.0","","80","","36","","1","","24.1","","98.67","","","","","","NA"
"2015-08-02 04:00","2015","08","02","04:00","16.0","","13.5","","85","","36","","1","","24.1","","98.66","","","","","","Mainly Clear"
"2015-08-02 05:00","2015","08","02","05:00","15.7","","13.4","","86","","36","","1","","24.1","","98.66","","","","","","NA"
"2015-08-02 06:00","2015","08","02","06:00","16.3","","13.6","","84","","36","","2","","24.1","","98.67","","","","","","NA"
"2015-08-02 07:00","2015","08","02","07:00","18.7","","13.8","","73","","26","","3","","24.1","","98.70","","","","","","Mostly Cloudy"
"2015-08-02 08:00","2015","08","02","08:00","21.0","","15.0","","68","","23","","5","","24.1","","98.71","","25","","","","NA"
"2015-08-02 09:00","2015","08","02","09:00","24.3","","14.0","","52","","23","","8","","24.1","","98.71","","28","","","","NA"
"2015-08-02 10:00","2015","08","02","10:00","25.4","","12.5","","44","","24","","10","","24.1","","98.63","","28","","","","Mainly Clear"
"2015-08-02 11:00","2015","08","02","11:00","27.2","","11.9","","38","","22","","21","","24.1","","98.63","","29","","","","NA"
"2015-08-02 12:00","2015","08","02","12:00","28.1","","12.3","","37","","23","","16","","24.1","","98.57","","31","","","","NA"
"2015-08-02 13:00","2015","08","02","13:00","28.7","","13.2","","38","","20","","19","","24.1","","98.48","","32","","","","Mainly Clear"
"2015-08-02 14:00","2015","08","02","14:00","29.0","","12.3","","35","","18","","29","","24.1","","98.43","","31","","","","NA"
"2015-08-02 15:00","2015","08","02","15:00","28.0","","14.5","","43","","19","","30","","24.1","","98.39","","32","","","","NA"
"2015-08-02 16:00","2015","08","02","16:00","25.9","","17.2","","58","","19","","18","","24.1","","98.37","","31","","","","Mostly Cloudy"
"2015-08-02 17:00","2015","08","02","17:00","17.3","","16.0","","92","","19","","20","","24.1","","98.44","","","","","","Thunderstorms,Rain"
"2015-08-02 18:00","2015","08","02","18:00","19.2","","16.5","","84","","17","","5","","24.1","","98.33","","","","","","NA"
"2015-08-02 19:00","2015","08","02","19:00","19.5","","17.1","","86","","11","","7","","24.1","","98.17","","","","","","Cloudy"
"2015-08-02 20:00","2015","08","02","20:00","19.4","","17.4","","88","","10","","8","","24.1","","98.09","","","","","","NA"
"2015-08-02 21:00","2015","08","02","21:00","19.2","","17.0","","87","","9","","3","","24.1","","98.08","","","","","","Thunderstorms,Rain Showers"
"2015-08-02 22:00","2015","08","02","22:00","18.8","","17.3","","91","","29","","13","","24.1","","98.05","","","","","","Rain Showers"
"2015-08-02 23:00","2015","08","02","23:00","18.8","","17.5","","92","","22","","10","","24.1","","98.05","","","","","","NA"
"2015-08-03 00:00","2015","08","03","00:00","18.5","","17.4","","93","","21","","13","","24.1","","98.02","","","","","","NA"
"2015-08-03 01:00","2015","08","03","01:00","18.1","","16.5","","90","","21","","17","","19.3","","98.01","","","","","","Cloudy"
"2015-08-03 02:00","2015","08","03","02:00","17.8","","16.2","","90","","19","","13","","19.3","","97.92","","","","","","NA"
"2015-08-03 03:00","2015","08","03","03:00","17.4","","16.1","","92","","27","","7","","24.1","","98.07","","","","","","NA"
"2015-08-03 04:00","2015","08","03","04:00","17.5","","15.9","","90","","21","","5","","24.1","","98.08","","","","","","Mostly Cloudy"
"2015-08-03 05:00","2015","08","03","05:00","17.6","","15.8","","89","","24","","12","","24.1","","98.18","","","","","","NA"
"2015-08-03 06:00","2015","08","03","06:00","17.5","","15.9","","90","","27","","14","","16.1","","98.18","","","","","","Rain"
"2015-08-03 07:00","2015","08","03","07:00","18.2","","15.9","","86","","27","","18","","80.5","","98.19","","","","","","Mostly Cloudy"
"2015-08-03 08:00","2015","08","03","08:00","19.0","","16.1","","83","","26","","15","","24.1","","98.24","","","","","","NA"
"2015-08-03 09:00","2015","08","03","09:00","20.7","","16.4","","76","","28","","20","","24.1","","98.23","","26","","","","NA"
"2015-08-03 10:00","2015","08","03","10:00","22.4","","16.5","","69","","26","","13","","24.1","","98.27","","27","","","","Mostly Cloudy"
"2015-08-03 11:00","2015","08","03","11:00","24.0","","15.1","","57","","26","","17","","24.1","","98.30","","28","","","","NA"
"2015-08-03 12:00","2015","08","03","12:00","25.1","","13.5","","48","","27","","15","","24.1","","98.31","","28","","","","NA"
"2015-08-03 13:00","2015","08","03","13:00","25.2","","10.5","","39","","29","","22","","24.1","","98.34","","27","","","","Mostly Cloudy"
"2015-08-03 14:00","2015","08","03","14:00","25.3","","9.8","","37","","29","","17","","24.1","","98.35","","26","","","","NA"
"2015-08-03 15:00","2015","08","03","15:00","24.7","","10.0","","39","","29","","21","","24.1","","98.36","","26","","","","NA"
"2015-08-03 16:00","2015","08","03","16:00","26.1","","10.5","","37","","25","","13","","24.1","","98.34","","28","","","","Mostly Cloudy"
"2015-08-03 17:00","2015","08","03","17:00","25.0","","9.5","","37","","27","","19","","24.1","","98.33","","26","","","","NA"
"2015-08-03 18:00","2015","08","03","18:00","23.8","","11.0","","44","","28","","15","","24.1","","98.37","","26","","","","NA"
"2015-08-03 19:00","2015","08","03","19:00","23.1","","11.7","","48","","29","","19","","24.1","","98.42","","25","","","","Mostly Cloudy"
"2015-08-03 20:00","2015","08","03","20:00","22.1","","12.2","","53","","29","","8","","24.1","","98.47","","","","","","NA"
"2015-08-03 21:00","2015","08","03","21:00","21.1","","11.8","","55","","27","","10","","24.1","","98.53","","","","","","NA"
"2015-08-03 22:00","2015","08","03","22:00","20.1","","12.0","","59","","28","","9","","24.1","","98.55","","","","","","Mainly Clear"
"2015-08-03 23:00","2015","08","03","23:00","19.0","","12.1","","64","","27","","5","","24.1","","98.57","","","","","","NA"
"2015-08-04 00:00","2015","08","04","00:00","18.5","","12.6","","68","","36","","3","","24.1","","98.54","","","","","","NA"
"2015-08-04 01:00","2015","08","04","01:00","17.3","","13.3","","77","","35","","11","","24.1","","98.57","","","","","","Mostly Cloudy"
"2015-08-04 02:00","2015","08","04","02:00","17.7","","13.3","","75","","32","","6","","24.1","","98.61","","","","","","NA"
"2015-08-04 03:00","2015","08","04","03:00","17.5","","12.5","","72","","31","","7","","24.1","","98.64","","","","","","NA"
"2015-08-04 04:00","2015","08","04","04:00","17.1","","13.5","","79","","34","","7","","24.1","","98.65","","","","","","Mostly Cloudy"
