"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158409"
"WMO Identifier",""
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-11-01 00:00","2016","11","01","00:00","2.5","","-0.1","","83","","13","","7","","","M","99.74","","","","","","NA"
"2016-11-01 01:00","2016","11","01","01:00","2.2","","0.1","","86","","11","","5","","","M","99.69","","","","","","NA"
"2016-11-01 02:00","2016","11","01","02:00","5.4","","1.9","","78","","14","","4","","","M","99.71","","","","","","NA"
"2016-11-01 03:00","2016","11","01","03:00","3.9","","1.8","","86","","8","","7","","","M","99.68","","","","","","NA"
"2016-11-01 04:00","2016","11","01","04:00","5.1","","3.0","","86","","14","","7","","","M","99.56","","","","","","NA"
"2016-11-01 05:00","2016","11","01","05:00","5.0","","2.9","","86","","13","","8","","","M","99.52","","","","","","NA"
"2016-11-01 06:00","2016","11","01","06:00","5.1","","3.3","","88","","13","","8","","","M","99.50","","","","","","NA"
"2016-11-01 07:00","2016","11","01","07:00","4.2","","3.2","","93","","7","","7","","","M","99.46","","","","","","NA"
"2016-11-01 08:00","2016","11","01","08:00","6.3","","4.6","","89","","9","","4","","","M","99.47","","","","","","NA"
"2016-11-01 09:00","2016","11","01","09:00","9.6","","5.4","","75","","14","","15","","","M","99.42","","","","","","NA"
"2016-11-01 10:00","2016","11","01","10:00","10.5","","5.3","","70","","15","","17","","","M","99.41","","","","","","NA"
"2016-11-01 11:00","2016","11","01","11:00","11.0","","5.8","","70","","15","","18","","","M","99.33","","","","","","NA"
"2016-11-01 12:00","2016","11","01","12:00","12.0","","6.3","","68","","17","","18","","","M","99.28","","","","","","NA"
"2016-11-01 13:00","2016","11","01","13:00","12.2","","6.7","","69","","15","","22","","","M","99.18","","","","","","NA"
"2016-11-01 14:00","2016","11","01","14:00","14.1","","8.6","","69","","15","","20","","","M","99.14","","","","","","NA"
"2016-11-01 15:00","2016","11","01","15:00","14.1","","8.8","","70","","12","","15","","","M","99.11","","","","","","NA"
"2016-11-01 16:00","2016","11","01","16:00","13.4","","8.7","","73","","12","","9","","","M","99.10","","","","","","NA"
"2016-11-01 17:00","2016","11","01","17:00","12.4","","8.9","","79","","14","","5","","","M","99.09","","","","","","NA"
"2016-11-01 18:00","2016","11","01","18:00","12.0","","9.1","","82","","6","","5","","","M","99.15","","","","","","NA"
"2016-11-01 19:00","2016","11","01","19:00","10.5","","8.6","","88","","1","","5","","","M","99.20","","","","","","NA"
