,Station,Code
31,KIPLING STATION,4900
22,FINCH STATION,3562
62,WARDEN STATION,2896
64,WILSON STATION,2655
19,EGLINTON STATION,2591
26,ISLINGTON STATION,2582
28,KEELE STATION,2580
61,VICTORIA PARK STATION,2566
4,BLOOR STATION,2404
56,ST CLAIR WEST STATION,1957
10,COXWELL STATION,1950
27,JANE STATION,1915
11,DAVISVILLE STATION,1725
34,LAWRENCE STATION,1599
67,YORK MILLS STATION,1486
24,GREENWOOD STATION,1440
60,UNION STATION,1365
20,EGLINTON WEST STATION,1357
41,OLD MILL STATION,1311
50,SHEPPARD STATION,1304
17,DUNDAS WEST STATION,1263
55,ST CLAIR STATION,1221
16,DUNDAS STATION,1190
18,DUPONT STATION,1163
8,CHRISTIE STATION,1157
48,ROYAL YORK STATION,1148
43,OSSINGTON STATION,1140
65,WOODBINE STATION,1112
5,BROADVIEW STATION,1091
35,LAWRENCE WEST STATION,1069
13,DONLANDS STATION,1055
38,MCCOWAN STATION,1053
68,YORKDALE STATION,1047
9,COLLEGE STATION,1006
44,PAPE STATION,989
0,BATHURST STATION,964
12,DON MILLS STATION,961
63,WELLESLEY STATION,946
37,MAIN STREET STATION,936
45,QUEEN STATION,909
7,CHESTER STATION,885
47,ROSEDALE STATION,869
23,GLENCAIRN STATION,867
52,SHERBOURNE STATION,769
46,QUEEN'S PARK STATION,764
30,KING STATION,754
1,BAY STATION,748
25,HIGH PARK STATION,737
15,DUFFERIN STATION,722
40,MUSEUM STATION,716
59,SUMMERHILL STATION,667
58,ST PATRICK STATION,635
54,ST ANDREW STATION,627
32,LANSDOWNE STATION,621
6,CASTLE FRANK STATION,620
42,OSGOODE STATION,565
49,RUNNYMEDE STATION,541
36,LESLIE STATION,457
33,LAWRENCE EAST STATION,430
2,BAYVIEW STATION,427
39,MIDLAND STATION,330
21,ELLESMERE STATION,288
3,BESSARION STATION,248
53,SPADINA STATION,18
51,SHEPPARD-YONGE STATION,14
29,KENNEDY STATION,6
66,YONGE STATION,5
57,ST GEORGE STATION,4
14,DOWNSVIEW STATION,4
