Station,Line
Bathurst,TTC - Line 2 - Bloor-Danforth line
Bay,TTC - Line 2 - Bloor-Danforth line
Bayview,TTC - Line 4 - Sheppard line
Bessarion,TTC - Line 4 - Sheppard line
Bloor–Yonge,TTC - Line 1 - Yonge-University-Spadina lineTTC - Line 2 - Bloor-Danforth line
Broadview,TTC - Line 2 - Bloor-Danforth line
Castle Frank,TTC - Line 2 - Bloor-Danforth line
Chester,TTC - Line 2 - Bloor-Danforth line
Christie,TTC - Line 2 - Bloor-Danforth line
College,TTC - Line 1 - Yonge-University-Spadina line
Coxwell,TTC - Line 2 - Bloor-Danforth line
Davisville,TTC - Line 1 - Yonge-University-Spadina line
Don Mills,TTC - Line 4 - Sheppard line
Donlands,TTC - Line 2 - Bloor-Danforth line
Downsview Park,TTC - Line 1 - Yonge-University-Spadina line
Dufferin,TTC - Line 2 - Bloor-Danforth line
Dundas,TTC - Line 1 - Yonge-University-Spadina line
Dundas West,TTC - Line 2 - Bloor-Danforth line
Dupont,TTC - Line 1 - Yonge-University-Spadina line
Eglinton,TTC - Line 1 - Yonge-University-Spadina line
Eglinton West,TTC - Line 1 - Yonge-University-Spadina line
Ellesmere,TTC - Line 3 - Scarborough RT line
Finch,TTC - Line 1 - Yonge-University-Spadina line
Finch West,TTC - Line 1 - Yonge-University-Spadina line
Glencairn,TTC - Line 1 - Yonge-University-Spadina line
Greenwood,TTC - Line 2 - Bloor-Danforth line
High Park,TTC - Line 2 - Bloor-Danforth line
Highway 407,TTC - Line 1 - Yonge-University-Spadina line
Islington,TTC - Line 2 - Bloor-Danforth line
Jane,TTC - Line 2 - Bloor-Danforth line
Keele,TTC - Line 2 - Bloor-Danforth line
Kennedy,TTC - Line 2 - Bloor-Danforth lineTTC - Line 3 - Scarborough RT line
King,TTC - Line 1 - Yonge-University-Spadina line
Kipling,TTC - Line 2 - Bloor-Danforth line
Lansdowne,TTC - Line 2 - Bloor-Danforth line
Lawrence,TTC - Line 1 - Yonge-University-Spadina line
Lawrence East,TTC - Line 3 - Scarborough RT line
Lawrence West,TTC - Line 1 - Yonge-University-Spadina line
Leslie,TTC - Line 4 - Sheppard line
Main Street,TTC - Line 2 - Bloor-Danforth line
McCowan,TTC - Line 3 - Scarborough RT line
Midland,TTC - Line 3 - Scarborough RT line
Museum,TTC - Line 1 - Yonge-University-Spadina line
North York Centre,TTC - Line 1 - Yonge-University-Spadina line
Old Mill,TTC - Line 2 - Bloor-Danforth line
Osgoode,TTC - Line 1 - Yonge-University-Spadina line
Ossington,TTC - Line 2 - Bloor-Danforth line
Pape,TTC - Line 2 - Bloor-Danforth line
Pioneer Village,TTC - Line 1 - Yonge-University-Spadina line
Queen,TTC - Line 1 - Yonge-University-Spadina line
Queen's Park,TTC - Line 1 - Yonge-University-Spadina line
Rosedale,TTC - Line 1 - Yonge-University-Spadina line
Royal York,TTC - Line 2 - Bloor-Danforth line
Runnymede,TTC - Line 2 - Bloor-Danforth line
Scarborough Centre,TTC - Line 3 - Scarborough RT line
Sheppard West,TTC - Line 1 - Yonge-University-Spadina line
Sheppard–Yonge,TTC - Line 1 - Yonge-University-Spadina lineTTC - Line 4 - Sheppard line
Sherbourne,TTC - Line 2 - Bloor-Danforth line
Spadina,TTC - Line 1 - Yonge-University-Spadina lineTTC - Line 2 - Bloor-Danforth line
St. Andrew,TTC - Line 1 - Yonge-University-Spadina line
St. Clair,TTC - Line 1 - Yonge-University-Spadina line
St. Clair West,TTC - Line 1 - Yonge-University-Spadina line
St. George,TTC - Line 1 - Yonge-University-Spadina lineTTC - Line 2 - Bloor-Danforth line
St. Patrick,TTC - Line 1 - Yonge-University-Spadina line
Summerhill,TTC - Line 1 - Yonge-University-Spadina line
Union,TTC - Line 1 - Yonge-University-Spadina line
Vaughan Metro Centre,TTC - Line 1 - Yonge-University-Spadina line
Victoria Park,TTC - Line 2 - Bloor-Danforth line
Warden,TTC - Line 2 - Bloor-Danforth line
Wellesley,TTC - Line 1 - Yonge-University-Spadina line
Wilson,TTC - Line 1 - Yonge-University-Spadina line
Woodbine,TTC - Line 2 - Bloor-Danforth line
York Mills,TTC - Line 1 - Yonge-University-Spadina line
York University,TTC - Line 1 - Yonge-University-Spadina line
Yorkdale,TTC - Line 1 - Yonge-University-Spadina line
