Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
2014-01-01,2014,1,1,-9.38,-14.92,-12.18,0,0,0,7.4
2014-01-02,2014,1,2,-15.3,-19.74,-17.54,0,0.44,0.76,7.2
2014-01-03,2014,1,3,-7.62,-23.64,-15.64,0,0,0.04,7.6
2014-01-04,2014,1,4,-0.12,-9.62,-4.9,0,0.88,0.96,7.6
2014-01-05,2014,1,5,0.76,-2.64,-0.98,1.36,6.88,12.92,8.8
2014-01-06,2014,1,6,0.16,-14.96,-7.42,1,1,4.68,14
2014-01-07,2014,1,7,-15.64,-23.22,-19.46,0,0,0.08,13.6
2014-01-08,2014,1,8,-8.26,-17.06,-12.7,0,0.04,0.04,13.8
2014-01-09,2014,1,9,-4.32,-14.24,-9.32,0,0.64,0.52,12.6
2014-01-10,2014,1,10,2.7,-7.62,-2.46,1.84,0.92,3.64,13.8
2014-01-11,2014,1,11,6.46,1.72,4.1,4.6,0,8.54,10.8
2014-01-12,2014,1,12,2.86,0.54,1.72,0,0,0,7.6
2014-01-13,2014,1,13,6.54,-0.76,2.9,0.2,0,0.2,7
2014-01-14,2014,1,14,4.48,0.46,2.5,0,0,0,4.4
2014-01-15,2014,1,15,1.26,-4.26,-1.52,0,0.08,0.08,4
2014-01-16,2014,1,16,-0.7,-5.08,-2.92,0,2.16,1.56,3.8
2014-01-17,2014,1,17,1.82,-2.72,-0.46,0,1.8,1.62,6.8
2014-01-18,2014,1,18,-1.96,-7.34,-4.68,0,0.6,0.54,7
2014-01-19,2014,1,19,,,,0,0.6,0.82,6.8
2014-01-20,2014,1,20,-3.68,-16.06,-9.9,0,0.6,0.56,7.6
2014-01-21,2014,1,21,-15.62,-20.94,-18.3,0,0,0.1,7.6
2014-01-22,2014,1,22,-12.96,-22.74,-17.88,0,0.04,0.04,7.6
2014-01-23,2014,1,23,-13.48,-18.8,-16.16,0,0.16,0.12,7.6
2014-01-24,2014,1,24,-7.56,-19.3,-13.46,0,1.08,0.84,7.8
2014-01-25,2014,1,25,-3.18,-14.98,-9.1,0,1.8,1.72,9.4
2014-01-26,2014,1,26,-4.46,-17.48,-10.98,0,2.48,1.66,9.8
2014-01-27,2014,1,27,-5.44,-15.6,-10.54,0,0.92,1.28,13
2014-01-28,2014,1,28,-12.06,-19.14,-15.62,0,0,0.04,12.8
2014-01-29,2014,1,29,-9.46,-17.52,-13.52,0,0,0,12.2
2014-01-30,2014,1,30,-1.18,-12.86,-7.02,0.04,0.16,0.16,11
2014-01-31,2014,1,31,0.62,-4.7,-2.06,0,0.28,0.16,10.8
2014-02-01,2014,2,1,0.7,-4.6,-1.96,0,8.1,13.86,10.2
2014-02-02,2014,2,2,0,-6.76,-3.4,0,0,0.32,16.6
2014-02-03,2014,2,3,-3.44,-12.6,-8.06,0,0,0.04,16.4
2014-02-04,2014,2,4,-3.98,-14.46,-9.24,0,1.8,1.3,15.6
2014-02-05,2014,2,5,-6,-12.56,-9.3,0,11.22,10.22,18.2
2014-02-06,2014,2,6,-7.3,-17.28,-12.3,0,0.04,0.14,28.2
2014-02-07,2014,2,7,-9.44,-14.66,-12.06,0,0,0,25
2014-02-08,2014,2,8,-8.98,-15.94,-12.48,0,0.08,0.08,24
2014-02-09,2014,2,9,-7.76,-15.64,-11.72,0,1.56,1.68,23.2
2014-02-10,2014,2,10,-6.5,-14.98,-10.78,0,0,0.06,24.2
2014-02-11,2014,2,11,-9.24,-16.14,-12.72,0,0,0,23.2
2014-02-12,2014,2,12,-6.04,-19.54,-12.82,0,0,0,22.2
2014-02-13,2014,2,13,-2.2,-14.24,-8.22,0,0.04,0.04,22.2
